number of frame,current time (s),camera motion_x,camera motion_y,internal motion mean_x,internal motion mean_y,internal motion velocity
269,10.76,0.13601581752300262,-0.3757774531841278,-0.0657350633394571,-0.5461923095473536,0.5501337451574068
270,10.8,-0.32181867165490985,-0.5433621108531952,0.2114952230028072,-0.8412994680434098,0.8674762384544786
271,10.84,0.0,0.0,-0.23590895664544753,-0.2599756763599537,0.3510561039554206
272,10.88,-0.21650397032499313,0.7833027243614197,-0.24166672315494514,0.6402716149518519,0.6843614147462592
273,10.92,0.0,0.0,-0.6774602744020062,0.5996674262152778,0.9047394351173697
274,10.96,0.0,0.0,-0.99623046875,-1.087354118441358,1.4747251017587066
275,11.0,-0.38458405435085297,-0.694381594657898,-2.224626738473221,0.10295056890558318,2.22700762126401
276,11.04,-0.8434808254241943,-0.1967194490134716,-2.3597861981097563,-0.2523277394510346,2.373238333772183
277,11.08,0.0,0.0,-0.8457443576388889,-0.7315672622492284,1.1182460273449881
278,11.12,0.0,0.0,-0.31661184051890434,-0.7245926167052469,0.7907449131929494
279,11.16,0.0,0.0,-0.13549748926986882,-0.17585494429976853,0.2220011960173028
280,11.2,0.0,0.0,-0.03917797700858411,0.44530647183641975,0.44702658505047016
281,11.24,0.0,0.0,-0.05374529803240741,0.8406857638888889,0.8424019887595453
282,11.28,0.25564486905932426,2.0888432264328003,-0.3115136517621117,0.8890794683974468,0.9420738062169295
283,11.32,0.0,0.0,0.2681831114969136,0.1604051830150463,0.312493206374565
284,11.36,-0.032618265599012375,-1.1735848784446716,0.29888972586135804,-0.5147497810846493,0.5952330680936436
285,11.4,0.0,0.0,0.03037216751663773,0.5482017988040123,0.5490425127179257
286,11.44,0.014138501137495041,1.311598002910614,0.08531551301663305,0.2831392897205589,0.2957137030047033
287,11.48,0.0,0.0,0.22022179120852622,0.09237542799961419,0.23881134190235528
288,11.52,0.0,0.0,0.08870186511381173,-0.32122052228009257,0.33324262153656803
289,11.56,0.0,0.0,0.20288758077739197,-0.21343323507426698,0.2944777007991778
290,11.6,0.0,0.0,0.033776139624324845,0.1493588595920139,0.15313032536551605
291,11.64,0.0,0.0,0.012514461941189237,0.03542316954812886,0.03756877291731735
292,11.68,0.0,0.0,-0.027792731391059027,0.7501341869212963,0.7506488755112138
293,11.72,0.0,0.0,-0.13531849802276236,0.529842242959105,0.5468490635733699
294,11.76,0.0,0.0,-0.09863280496479553,1.0714366319444444,1.0759669541801358
295,11.8,-0.15159916505217552,2.147913694381714,0.09488812356635376,0.18108997074174304,0.2044439617528211
