number of frame,current time (s),camera motion_x,camera motion_y,internal motion mean_x,internal motion mean_y,internal motion velocity
2,0.08,0.0,0.0,0.008915238557038484,-0.02817273363654996,0.029549693722353523
3,0.12,0.0,0.0,0.04118454167872299,0.057726613739390434,0.07091211749132338
4,0.16,0.0,0.0,0.04829077826605903,0.05887176513671875,0.07614383754352451
5,0.2,0.0,0.0,0.0751175868658372,0.05127147910035687,0.09094732775450265
6,0.24,0.0,0.0,0.04269056155357832,0.06198056821469907,0.07526004837878345
7,0.28,0.0,0.0,0.049999110845871914,0.03229939401885609,0.05952446504894524
8,0.32,0.0,0.0,0.0600711210274402,0.03889836817611883,0.07156551284143964
9,0.36,0.0,0.0,0.05180227397400656,0.06634128146701389,0.08417031077264475
10,0.4,0.0,0.0,0.07882903675974151,0.039410362714602624,0.08813168400618031
11,0.44,0.0,0.0,0.06885428722993828,0.0032575468369472173,0.06893130262324763
12,0.48,0.0,0.0,-0.0009328979916042752,-0.028522783444251545,0.02853803556782438
13,0.52,0.0,0.0,0.16174128026138118,0.03676928484881366,0.1658680862881219
14,0.56,0.0,0.0,0.08415117428626544,-0.14964878411940585,0.17168627994739113
15,0.6,0.0,0.0,0.08595236695842978,-0.12073475025318287,0.1482048896104815
16,0.64,0.0,0.0,0.08157527217158565,-0.24023118007330246,0.25370365568765413
17,0.68,0.0,0.0,0.09659491644965278,-0.26546694155092593,0.28249473435856837
18,0.72,0.0,0.0,0.0959054904513889,-0.19379762249228394,0.21622992758261572
19,0.76,0.0,0.0,0.0795969871238426,-0.31508662471064813,0.3249850172403983
20,0.8,0.0,0.0,0.12619597258391205,-0.2042178005642361,0.2400631866065549
21,0.84,0.0,0.0,0.07050078968942901,-0.12988602249710648,0.14778612988691445
22,0.88,0.0,0.0,0.16976515781732254,-0.15489530586902006,0.22981027955467465
23,0.92,0.0,0.0,0.13701092001832563,-0.15181372371720678,0.2044979190924749
24,0.96,0.0,0.0,0.13545084635416665,-0.16833979853877315,0.21606762726085274
25,1.0,0.0,0.0,0.14769577968267747,-0.14196686921296298,0.20486247897114918
26,1.04,0.0,0.0,0.12339075159143519,-0.24511659975405092,0.2744219835459376
27,1.08,0.0,0.0,0.15352798273533952,-0.23010305145640433,0.2766193336922265
28,1.12,0.0,0.0,0.14183424961419752,-0.3019359748746142,0.3335899987815974
29,1.16,0.0,0.0,0.12907344111689814,-0.3425785771122685,0.3660874686437981
30,1.2,0.0,0.0,0.1616980884693287,-0.20462435498649692,0.2608014541145711
31,1.24,0.0,0.0,0.12624315049913196,-0.34903757354359566,0.3711664866244627
32,1.28,0.0,0.0,0.10828642668547454,-0.32723343460648147,0.34468488642332873
33,1.32,0.0,0.0,0.1333558033130787,-0.23462241090374228,0.26987301824295257
34,1.36,0.0,0.0,0.09527376151379244,-0.3315917365933642,0.3450074918171923
35,1.4,0.0,0.0,0.1589795826099537,-0.26789381992669753,0.31151501800355136
36,1.44,0.0,0.0,0.12684279453607253,-0.26485655984760803,0.293663228580001
37,1.48,0.0,0.0,0.033142048400125385,-0.011039246924129532,0.03493222501943094
38,1.52,0.0,0.0,0.08809064700279706,-0.25689320505401236,0.27157702570779846
39,1.56,0.0,0.0,0.09103797441647377,-0.21973533347800925,0.23784770245799403
40,1.6,0.0,0.0,0.10059309594425155,-0.36177499276620373,0.37549982202743604
41,1.64,0.0,0.0,0.1114876076027199,-0.31731568889853395,0.3363312847032361
42,1.68,0.0,0.0,0.13765858591338734,-0.23236845040027007,0.2700832890370972
43,1.72,0.0,0.0,0.09179933901186342,-0.28440315152391976,0.2988515873134233
44,1.76,0.0,0.0,0.06689848723234953,-0.2878783275462963,0.2955492159773554
45,1.8,0.0,0.0,0.11032970287181713,-0.21837681146315585,0.24466523071453813
