number_of_frame,current_time(s),camera_motion_x,camera_motion_y,net_camera_motion,camera_motion_angle,internal_motion_x,internal_motion_y,net_internal_motion,internal_motion_angle
2,0.08,0.0,0.0,0.0,0.0,-0.006325216411072531,-0.007836797737780912,0.010070936472334105,-2.2498621507022447
3,0.12,-2.9619164251926122e-05,-4.173080924374517e-05,5.117377581457543e-05,-2.1880474982355533,1.691168821517647,0.08170897768665501,1.6931415593233736,0.04827755010751075
4,0.16,0.0,0.0,0.0,0.0,1.7405379533179013,0.1147941909601659,1.7443193724826507,0.06585790245024212
5,0.2,0.0,0.0,0.0,0.0,1.863947723765432,0.0029379778732488183,1.8639500392028534,0.0015762112867815507
6,0.24,0.0,0.0,0.0,0.0,1.7272765962577161,0.24237943672839507,1.7441995961839962,0.13941430971944305
7,0.28,0.0,0.0,0.0,0.0,2.0961709104938273,-0.07573028941213349,2.0975384532196224,-0.03611221128052878
8,0.32,0.0,0.0,0.0,0.0,1.852030285493827,0.3340290135513117,1.881911677066809,0.17843996133315415
9,0.36,0.0,0.0,0.0,0.0,2.069442997685185,0.24101353021315586,2.0834303065891246,0.11594068582083994
10,0.4,0.0,0.0,0.0,0.0,2.101988570601852,0.1793764316888503,2.1096283689755033,0.08513029094005177
11,0.44,0.0,0.0,0.0,0.0,1.8382060185185185,-0.11923443829571759,1.842069004623171,-0.06477382576828264
12,0.48,0.0,0.0,0.0,0.0,2.0358588927469135,0.04746083954234182,2.0364120316052823,0.02330821879070458
13,0.52,0.0,0.0,0.0,0.0,1.8401897665895062,-0.026172159453968943,1.8403758743776297,-0.014221574012607088
14,0.56,0.0,0.0,0.0,0.0,1.7796009355709876,-0.25205595040027007,1.7973624264508585,-0.14070034665125455
15,0.6,0.0,0.0,0.0,0.0,1.947228973765432,-0.24721732433931326,1.962859414661444,-0.1262829243072223
16,0.64,0.0,0.0,0.0,0.0,2.1273300057870372,-0.08198796778549383,2.128909340574058,-0.038521249609916826
17,0.68,0.0,0.0,0.0,0.0,1.8747318672839506,-0.31923590012538583,1.9017179428450566,-0.16866567924747955
18,0.72,0.0,0.0,0.0,0.0,2.041557677469136,0.004497204533329717,2.0415626307516965,0.0022028264539444477
19,0.76,0.0,0.0,0.0,0.0,1.91486328125,0.10691899805893133,1.9178459422032423,0.05577844263594254
20,0.8,0.0,0.0,0.0,0.0,1.6733777006172839,0.014298951890733507,1.673438791515352,0.008544755844029469
21,0.84,0.0,0.0,0.0,0.0,1.7999556327160493,0.15449833622685186,1.8065741101994954,0.08562465450295444
22,0.88,-0.0005530163034563884,-0.001903453259728849,0.0019821607764913896,-1.8535454845505202,2.008399153456234,0.09608451216694336,2.0106962458516895,0.047804893075877215
23,0.92,-0.0004710282082669437,0.0013727230252698064,0.0014512877306340935,1.9013415693291975,1.8871129794042547,0.16348339978047866,1.8941811473667947,0.08641573220467712
24,0.96,-0.0008374082681257278,-0.0010502864606678486,0.0013432625420920243,-2.243897415258069,2.113979769379237,0.13040718689951816,2.1179982293995754,0.06160993017449335
25,1.0,0.005476212361827493,0.0038086166605353355,0.006670416980874552,0.6076884827553006,1.8266293046134812,0.06785052987206497,1.8278890313355047,0.037128140637652476
26,1.04,-0.0029847468540538102,0.006758365547284484,0.007388113335182807,1.9866741726938626,1.9258342597784366,0.24755840239253035,1.9416803956190887,0.12784496044716312
27,1.08,-6.599916378036141e-05,-0.00014442070096265525,0.00015878673901258776,-1.9994499034091324,2.0536756635156324,0.20197592750073118,2.0635837773655212,0.098033241157871
28,1.12,0.000555751845240593,-0.0003655301406979561,0.0006651859869592801,-0.5817844582676325,1.8863082768970434,0.39960369082742636,1.928170642140678,0.20875795649143156
29,1.16,0.0003188339396729134,-2.2345921024680138e-06,0.00031884177030184644,-0.007008524617401971,1.9863264930279196,0.091310820806898,1.9884241506532312,0.04593735361566456
30,1.2,-8.448596145171905e-05,0.00010739696153905243,0.00013664547204441887,2.2373561685693586,1.9392849103441678,0.025801184807485833,1.9394565384730995,0.013303698946823955
31,1.24,-0.003843387123197317,-7.225867193483282e-08,0.0038433871238765767,-3.14157385281079,1.8781037314519011,0.2342427842089034,1.8926550948462568,0.12408227432471251
32,1.28,-0.006485077785328031,0.010612794663757086,0.012437348771214305,2.1193101257002334,1.6556332982714392,-0.12289963879955955,1.66018852530736,-0.0740952997135397
33,1.32,-3.803649906330975e-05,0.0006158638279885054,0.0006170373002385256,1.6324791939732812,2.4047057641225202,0.03026417835408615,2.4048961999420104,0.01258473327055215
34,1.36,-0.0027322808164171875,0.0012983737979084253,0.003025083962282125,2.6979829529553987,1.7248227273827752,-0.003681519730706458,1.7248266563581636,-0.002134430444074318
35,1.4,0.002727359998971224,0.008169292472302914,0.00861253923428006,1.24857625111317,2.071053745325103,0.017226761642521547,2.071125389092081,0.008317680991394566
36,1.44,-0.000562623143196106,-0.0005203406326472759,0.0007663544710143168,-2.3952179979295862,2.236931739655542,0.2173107654976164,2.2474624750325707,0.09684291354743073
37,1.48,0.01450309797655791,0.028269939124584198,0.03177309095799989,1.0967855473497348,2.00008132042622,-0.03381896448356134,2.0003672189567174,-0.016907183553459767
38,1.52,-0.0032494087354280055,-0.0006413543596863747,0.003312097906850664,-2.9467217172310076,2.1514624199237,-0.05636497671911378,2.1522006307369415,-0.026192456802761145
39,1.56,0.00012134698772570118,-7.861133781261742e-05,0.00014458504024549332,-0.5748431089785392,1.882105938891904,-0.0712066308135184,1.8834524547978342,-0.03781545134136723
40,1.6,-0.0025929927360266447,0.00042557832784950733,0.002627684958708355,2.9789166888142105,2.2488429927360265,-0.004420464467142283,2.248847337300608,-0.0019656591358900724
41,1.64,0.0007606666767969728,0.0010659268864401383,0.0013095090379318952,0.9509878326431997,2.0751592310855487,-0.220871880300792,2.086880500140622,-0.10603689635694119
42,1.68,-0.00017802698130253702,0.00016953203885350376,0.0002458347377193056,2.3806313511053565,2.4241370836942653,-0.41877184203113743,2.4600427752825538,-0.17106255978752408
43,1.72,0.0019485453958623111,-0.0018195859156548977,0.00266603114463914,-0.7511877932148301,2.1934541359312982,0.03082164227295621,2.1936706726549726,0.014050721846996276
44,1.76,-0.0007312813540920615,-3.214692696928978e-06,0.0007312884199082157,-3.1371967094409943,2.373159666770759,-0.06693444053251527,2.374103414621381,-0.028197302078926425
45,1.8,-0.000962141712079756,0.0001752997050061822,0.000977980910191512,2.9613721085580647,2.237000191480598,-0.1534715296915031,2.2422585415402216,-0.06849861818564154
46,1.84,-0.0029110147515893914,-0.002290268079377711,0.0037039620353599085,-2.474977583382448,2.3091224345046757,-0.28381716585194944,2.326499215810105,-0.12229787072129568
