number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,151.4759920236675,0.44280984796560885,112.92090133101851,300837189991.9492,194181.88580838864,685208.9751273779,82.28895206404322,112.00665726273148,28.066297642017176
2,0.08,0.0,151.88442224742303,0.4392860689812021,112.02199797453704,307443535484.1875,196259.8630258844,693361.4348840432,70.63546682098766,97.89471113040123,27.820108351872907
3,0.12,0.0,151.85322119080996,0.43946736482873655,112.06844328703704,307323738502.9414,196011.64531450538,693313.7103855702,74.19929446373457,102.61211202739197,27.881763216178165
4,0.16,0.0,151.6655275821197,0.4416305255161542,112.61966676311728,305106672132.2344,194997.56694819775,690437.0700377745,77.98428722993827,107.39027488425926,28.014730491944295
5,0.2,0.0,151.96616516698842,0.4387831440658788,111.89497588734568,308473514800.7656,196454.56270698024,694702.2280123694,72.80667824074074,101.01739101080247,27.904775465299682
6,0.24,0.0,151.97582557978748,0.43837035861383933,111.78955054012346,309147420755.9961,196338.66649282526,696110.1254133364,70.16560956790123,97.46263937114198,27.8666014138651
7,0.28,0.0,151.68587951403177,0.44036373897210396,112.29758680555555,305339933635.625,194936.95380254695,691120.612986303,75.19523292824074,103.9115128279321,28.042601056018757
8,0.32,0.0,152.0482933922758,0.43669720036262843,111.3629123263889,309718465900.28125,196554.10650189425,696764.2989749638,66.94995081018519,93.26878351658951,27.854435476846493
9,0.36,0.0,152.01306774413038,0.4370560406729508,111.45462046682098,309029518705.625,196021.90074771774,696219.5026945624,68.93013406635802,95.94845751350309,27.928877255012925
10,0.4,0.0,151.71829425648966,0.43895436966690915,111.93842110339506,306458412801.83984,195120.5098411616,692756.859703021,71.9091401427469,99.69061680169753,28.062345007402516
11,0.44,0.0,152.04483210851976,0.43530542326694155,111.00826967592593,310103820625.64453,196519.55429167626,697864.9110714383,66.02495707947531,92.06295138888889,27.93588686161122
12,0.48,0.0,151.73493550213053,0.43779335209187276,111.64204041280864,308215860723.9922,195245.73982415601,695495.0042629301,69.19788290895062,96.15200014467592,28.103217486957046
13,0.52,0.0,151.63304375153672,0.437606892687421,111.59237895447531,309570031553.73047,196070.14220098185,697789.7963676738,73.20915316358025,100.58670380015432,28.181447315912553
14,0.56,0.0,151.9248496195816,0.4339650001495186,110.66404610339507,312214862707.65234,197564.71078294623,701179.1076220808,65.39092062114197,90.90080608603395,27.984752865599173
15,0.6,0.0,151.9103900213112,0.43431206481682316,110.75218798225309,311899236721.53906,197374.27798631287,700969.8065591392,66.30209731867284,92.17794126157408,28.020459938954247
16,0.64,0.0,151.74789609336332,0.4363183393977613,111.26441936728395,311290305995.33594,196513.50938219894,700137.6226517267,68.28166714891975,94.63886622299383,28.081551336690506
