number_of_frame,current_time(s),camera_motion_x,camera_motion_y,net_camera_motion,camera_motion_angle,internal_motion_x,internal_motion_y,net_internal_motion,internal_motion_angle
2,0.08,-2.5735236704349518e-05,-0.0002863278496079147,0.0002874820687787701,-1.6604357742567009,-1.3592998338219375,-0.24752047553580875,1.3816520633060336,-2.961472081059476
3,0.12,0.00015216786414384842,-0.0009065323392860591,0.0009192148503204,-1.4044896412243366,-1.4214238692530328,-0.18208518496395468,1.4330390192404463,-3.0141859799997714
4,0.16,-0.0019788462668657303,-0.004616541518771555,0.0050227769353645415,-1.9757482221446256,-1.8404738929306652,-0.14843013756591208,1.8464494729878729,-3.0611190384023135
5,0.2,-0.009767170995473862,0.002993192625581287,0.010215519142396047,2.8442249513280204,-2.027561629158847,0.05852308266256493,2.028406051864766,3.112736890224208
6,0.24,-0.006104531465098262,-0.00023675450938753784,0.006109120812857613,-3.1028286775500553,-2.2135103894453954,0.05194937462054688,2.214119911320562,3.118127735586624
7,0.28,-0.00033210963010787964,-0.0019905154404114,0.0020180308533138394,-1.736119530067962,-2.248374005339028,0.012315852603135648,2.248407736179007,3.1361150375892706
8,0.32,0.0038259108550846577,0.0034925914369523525,0.005180327095515061,0.739884857488089,-2.332128138864344,-0.07692592446887751,2.333396505941127,-3.108619318135404
9,0.36,-0.004979248042218387,-0.003480856481473893,0.006075300232132931,-2.5314892946995573,-2.3519936493343248,-0.03210196521147557,2.352212716290649,-3.127944669458606
10,0.4,-0.0001020706258714199,-0.0026124233845621347,0.0026144166372009,-1.6098477052778692,-2.022613255377215,0.06694345546644871,2.02372078287925,3.108507224602043
11,0.44,-0.009807200636714697,0.0009684285614639521,0.00985489919823822,3.0431650594507893,-2.12559427505773,0.1576365639636132,2.131431516248282,3.06756699323585
12,0.48,-0.008317406522110105,-0.0019326020264998078,0.00853898131201087,-2.9132874810432687,-2.253022292551964,0.29607379970203995,2.2723928237886404,3.0109295268590106
13,0.52,-0.004053208362165606,0.008364285342395306,0.009294609583846874,2.022036173006666,-2.3218910431810444,0.4752986679755059,2.3700394174324715,2.939678844906731
14,0.56,-0.0025959331542253494,0.003318847971968353,0.004213504574845602,2.2345759459236096,-2.5839144835124412,0.03822346898284453,2.5841971851401837,3.1268008787596497
15,0.6,-0.004715878749266267,-0.0008294805884361267,0.004788272175260458,-2.9674826025356675,-2.4900772346766598,-0.11828361830961558,2.492885005172797,-3.0941263459849844
16,0.64,-0.010138445068150759,0.0037295480724424124,0.010802666209069377,2.7890946467856437,-2.2321573207497503,-0.09502466887684057,2.234179042125285,-3.0990475664450208
17,0.68,-0.0033644840586930513,0.004520598333328962,0.005635207385047711,2.2106113600523827,-2.3299259287499487,0.10662754077257382,2.332364522520551,3.09586021485025
18,0.72,-0.005333168199285865,0.00025101251230807975,0.00533907204701428,3.094561058452313,-2.155015018529109,0.1367892495922444,2.1593519928186846,3.0782028485424466
19,0.76,-0.009236003272235394,0.00044776793583878316,0.009246850954195607,3.093149879320269,-2.0406041298296165,0.06703203771616739,2.0417048045097186,3.10875534736823
20,0.8,-0.013262853026390076,-0.0013598542573163286,0.013332384407928154,-3.0394186432975174,-1.9131572617498445,-0.03313009528695451,1.9134440967532564,-3.1242774098891557
21,0.84,-0.007882260484620929,-0.0010502537297725212,0.007951921984295222,-3.009130165002268,-1.934020227941305,-0.032632626436363665,1.9342955126852446,-3.124721304626465
22,0.88,-0.0015649967826902866,-0.005076910718344152,0.005312648809385831,-1.8698116628633923,-1.5242910024457048,0.05241040153745102,1.5251917618208697,3.107222731765883
23,0.92,1.639779657125473e-05,0.0011752996942959726,0.0011754140798648784,1.5568452190187125,-0.9964928759022811,0.11712809627165696,1.0033529003596997,3.0245891872527713
24,0.96,-0.012513197958469391,9.493378456681967e-07,0.012513197994481062,3.141516786665367,-0.7904861148308825,0.14722618583769445,0.8040795032437642,2.9574547892447587
25,1.0,0.0,0.0,0.0,0.0,-0.3869505931712963,0.08126230498890818,0.395391355201057,2.934593824917185
26,1.04,0.0,0.0,0.0,0.0,-0.06262605643566743,-0.3596189899209105,0.3650312875034404,-1.7432128391306914
27,1.08,0.0,0.0,0.0,0.0,0.07067067087432484,-0.19563015407986112,0.20800360791855835,-1.2241378668221679
28,1.12,0.0,0.0,0.0,0.0,0.12185001326195988,-0.2896188994984568,0.31420778583389214,-1.1725519093038064
29,1.16,0.0,0.0,0.0,0.0,0.19827953197337964,-0.22489061897183643,0.29981755002187277,-0.8482005415825221
30,1.2,0.0,0.0,0.0,0.0,0.14425779742959105,-0.09633293246045525,0.17346569111979337,-0.5887751844504696
31,1.24,0.0,0.0,0.0,0.0,0.036323637785734955,-0.31528953269675924,0.3173750086098937,-1.4560947669282012
32,1.28,0.0,0.0,0.0,0.0,-0.37705222800925925,-0.09496601622781636,0.3888276313290097,-2.8948600745494786
33,1.32,0.0,0.0,0.0,0.0,-0.2310975326726466,0.07874660162278163,0.24414564684737272,2.8131815615467883
34,1.36,0.0,0.0,0.0,0.0,-0.5848748553240741,0.047924107681086035,0.5868349993715312,3.0598362181911964
35,1.4,0.0,0.0,0.0,0.0,-0.911211540316358,-0.0326629035855517,0.9117967627033717,-3.1057624173209755
36,1.44,-0.011019371915608644,-0.0018768657464534044,0.011178067026311599,-2.972887415975493,-1.205549638501058,-0.03695844783861604,1.206116021681443,-3.11094532497537
37,1.48,0.00021450314670801163,0.0005732285790145397,0.0006120478770052774,1.2127256615213349,-1.4282985116343623,0.042592382405505134,1.4289334307013435,3.111781123549197
38,1.52,-0.018798846751451492,-0.003028974504559301,0.019041305778066498,-2.9818401302812663,-1.7288329289044126,-0.05506935087159811,1.7297097818621565,-3.1097499370309416
39,1.56,0.0005196765996515751,-0.0018688641721382737,0.0019397724253446586,-1.2995774429658427,-2.0428496823866884,-0.0388779235701939,2.043219596070996,-3.1225637298136215
40,1.6,0.007673771120607853,-0.004459545947611332,0.008875489466521369,-0.5264374419730214,-2.1357505458119657,-0.07306943444880071,2.1370001254531497,-3.1073934605221374
41,1.64,-0.01023864047601819,-0.004241161164827645,0.011082292489516787,-2.7488787812553435,-2.4055821542770683,0.0800408272045653,2.4069133833596696,3.1083319689722235
42,1.68,-0.0003978465683758259,-0.0019028429524041712,0.0019439889900620948,-1.7769072990335868,-2.6200602938637227,0.09087067817858087,2.6216356389921716,3.1069238832049932
