number of frame,current time (s),camera motion_x,camera motion_y,internal motion mean_x,internal motion mean_y,internal motion velocity
2,0.08,0.0,0.0,0.0015898862297152295,-4.8343833581900894e-05,0.0015906210578524043
3,0.12,1.3800540566444397,1.0000045895576477,0.0933334095978442,-0.04403278930687615,0.1031988947678351
4,0.16,1.9596609473228455,1.4924442768096924,-0.5573343173074135,0.40613838136932,0.6896157814825672
5,0.2,1.1670441925525665,1.1932598650455475,-0.544287694192227,1.1291446488433414,1.2534818435305093
6,0.24,0.08349955081939697,1.088759869337082,-0.44932121965620253,0.6623965735641526,0.8004116310392217
7,0.28,-0.5052094757556915,0.46709945797920227,-0.023142966856191216,0.13654426549687793,0.13849163640808296
8,0.32,1.4580742716789246,-0.010068237781524658,-1.7766936413741405,-0.30082019296693213,1.8019803228104256
9,0.36,-0.02491462230682373,-2.229850649833679,-0.5178170400195652,2.05869226284969,2.122816129591021
10,0.4,0.6770375669002533,-0.9810289144515991,-0.6254725162335384,-3.6597103795298827,3.7127746942956654
11,0.44,-1.1614582389593124,-4.1514915227890015,1.1458658089387563,-0.7139073005134673,1.3500637339849169
12,0.48,-0.4823569655418396,-3.1850003004074097,-1.0927839729226665,-0.583321941104936,1.2387256752207398
13,0.52,-2.9340741634368896,-4.4047887325286865,0.6401985365078775,0.12622777573856325,0.652524035967054
14,0.56,-1.8979818671941757,-3.330670475959778,-0.4734231771731081,-0.39609191794454324,0.6172668079085954
15,0.6,-3.2693859338760376,-2.9540356397628784,-0.5615846004603822,0.05906867409929806,0.5646825406669629
16,0.64,-2.825299859046936,-2.971790075302124,-0.992070414872817,1.101345437956445,1.4822838735456163
17,0.68,-1.8346672654151917,-2.065985083580017,-1.4261446076557962,0.5505309217358814,1.5287160422174761
18,0.72,-2.6932674646377563,-2.2293370366096497,-0.707734898402367,0.387076475267057,0.8066702449711266
19,0.76,-2.6417821645736694,-2.6934250593185425,-0.651894774083738,0.3418140928833573,0.7360731421342313
20,0.8,-2.3905184268951416,-3.060821056365967,-0.45703606770362404,-0.23817344594884782,0.5153722514233187
21,0.84,0.07181549072265625,-1.0578807890415192,-2.7669753576208045,-0.9072703973010734,2.911922424018131
22,0.88,-1.4802410304546356,-5.196628570556641,0.13252739233735178,-1.941658466480396,1.9461760224025835
23,0.92,-1.3854044675827026,-8.899909496307373,0.5522797689908816,-1.136234408013614,1.2633453895078215
24,0.96,-0.510727658867836,-8.503292560577393,-1.1737112396661147,0.39743318557739293,1.239173600072549
