number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,42.50590684032626,0.7606700675537226,193.9773398919753,28376394311.726562,146405.36563520518,801938.1549019908,112.28029272762346,157.33361955054013,41.74927086626145
2,0.08,0.0,42.531496941591,0.7572331682664839,193.10204089506172,29176939123.960938,145879.86457958084,803006.2659239448,93.33127941743827,131.79183955439814,41.2774104163099
3,0.12,0.0,42.024049819681274,0.7611562560287926,194.10246383101853,28006507805.73828,147231.74160360804,801250.5906361771,101.82961709104939,143.36807291666668,41.2094072165457
4,0.16,0.0,41.65177271465422,0.765543608985332,195.22040268132716,27587839397.3125,148408.25795503607,802009.9845605744,96.838175154321,136.09259837962964,41.04442697516332
5,0.2,0.0,41.597832733466966,0.7641260639762864,194.85995515046295,27183636052.76953,148687.40402872913,800511.901510127,102.07500530478396,143.71917173032406,41.132850989378966
6,0.24,0.0,41.36669428631713,0.7656028985857356,195.23633825231482,27522548174.32422,149337.01157789576,802594.1554967822,92.21083670910494,130.10707802854938,40.75087497670454
7,0.28,0.0,41.05953006853607,0.7705301654850026,196.49199990354938,26397588504.023438,150466.77731795557,800794.86100822,106.2829157021605,148.86264660493828,41.000361913880205
8,0.32,0.0,41.10249861453381,0.7653686292621832,195.1766478587963,27085975419.320312,150428.85044572942,801959.8295806063,91.01178722993828,128.45094931520063,40.68008414261802
9,0.36,0.0,40.79432554740855,0.7672671618066227,195.66072434413582,26458516228.121094,151376.82488171596,801048.5861888884,99.0654899691358,139.38704619984568,40.64866964805008
10,0.4,0.0,40.37708676270146,0.7711653362126253,196.65372733410493,26672030639.160156,152600.21398321658,802915.0403948072,92.89973524305556,130.53576847029322,40.2638238520236
11,0.44,0.0,40.3004432875655,0.7673338537080072,195.67767264660495,26778713094.58203,153171.96958922947,803054.4626481514,94.7677416087963,133.5292951871142,40.23049133588738
12,0.48,0.0,40.13525536030817,0.7701576021675394,196.39708333333334,26603296510.351562,153622.91856517317,802099.8324722789,90.1416411072531,126.79590639467592,40.18206221972177
13,0.52,0.0,40.00030931673183,0.7658173012745184,195.28983265817902,25740031785.746094,155469.15744816384,798484.6338017503,102.81968991126543,144.15911096643518,40.707390617187436
14,0.56,0.0,40.22574496294489,0.7592415488117477,193.61399209104937,26511044671.55078,154073.91258985305,798968.3875834517,87.64637635030864,123.7039474826389,40.64367395344696
15,0.6,0.0,40.181509187002,0.7618112034638247,194.26947820216049,25817298730.023438,154409.44629516357,795818.4858028775,94.38872058256173,132.86198254243828,40.99313280506806
16,0.64,0.0,40.09928327071174,0.7635626745262643,194.71461178626544,25723698854.07422,155054.12836971934,795633.8840101555,89.83645399305556,126.28872733410493,41.02688863241875
17,0.68,0.0,40.21766046688852,0.7614627084562611,194.18043113425927,25413648520.460938,154321.84164319403,793074.0247935987,93.17787229938271,131.1837504822531,41.26604623420375
18,0.72,0.0,40.27493521419126,0.7594903275341071,193.6787041859568,25480498476.76172,154135.0254883702,793321.3134391726,83.50721691743827,117.93487895447531,41.19237217116574
19,0.76,0.0,40.24183780099518,0.7635846023643569,194.72094569830247,24458762327.371094,154962.44545074095,789154.6876626485,93.46876205632717,131.07879870756173,41.74622233393123
20,0.8,0.0,40.5343010947742,0.7559236224623822,192.76870129243827,24846586929.210938,153703.12669653166,789172.2790343127,81.83266396604938,115.64725284529321,41.70163730124501
21,0.84,0.0,40.58062611165054,0.7554572998055523,192.650078125,24386528950.867188,153680.30666896817,787304.6299980808,87.82150655864197,123.8161668113426,41.93390829657384
22,0.88,0.0,40.562951905924095,0.755216724961878,192.58729938271605,24447371835.695312,153907.14368281903,787665.8932116941,83.34662374614197,117.31025824652778,41.929972945830976
23,0.92,0.0,40.60121278265901,0.7547362525708531,192.46511574074074,24465661314.816406,153615.5747177054,787670.4881408386,82.86606192129629,116.74318407600309,41.909643946339784
24,0.96,0.0,40.63612508347773,0.7543480075266912,192.36596450617284,23984307227.17578,154079.8383227786,786997.4991109086,90.84809220679013,127.70483265817901,42.244961665432704
25,1.0,0.0,40.70484947871712,0.7493038508673417,191.0787649498457,24406885025.078125,154461.82093422426,788230.7650911241,77.0776634837963,108.95157986111111,41.97639709245696
26,1.04,0.0,40.906477729103024,0.745331534555116,190.0666372492284,24076229542.875,153046.503591508,785761.4971980938,79.8130362654321,112.85703366126543,41.949230600427896
27,1.08,0.0,41.031082074202786,0.741946744548785,189.20421585648148,24284820193.45703,152816.02058658746,784609.1905787637,75.12626350308642,106.37131703317901,41.87015761409031
28,1.12,0.0,40.87904813468011,0.7454910603763477,190.10677131558643,23667190253.546875,153985.12802747232,781653.0259224034,81.25723620756173,114.52048538773148,42.01801589489137
29,1.16,0.0,41.094967462419646,0.7401556730522955,188.74732349537038,24058515792.378906,152363.895185104,780625.2706440483,73.48436487268519,103.88338975694444,41.83162005728268
30,1.2,0.0,41.28269538679968,0.7378941993329634,188.17099103009258,23737763230.898438,152349.45914002685,776960.9893532323,77.41972463348766,109.18778790509259,42.259283510086355
31,1.24,0.0,41.264891925670284,0.7381967924331736,188.2472516396605,23741141583.07422,152953.92076113806,775342.5768123862,73.03791425540123,102.93086853780864,42.409008253380954
32,1.28,0.0,41.11117326681144,0.7364151864743894,187.79375916280864,23040234164.53125,153373.4265486239,772551.8853125661,79.63941599151235,112.28420138888889,42.46498523583866
33,1.32,0.0,41.028503225333225,0.7324958949223214,186.79446903935184,22974017824.839844,153764.65853268694,772623.2663238677,74.36693190586419,105.03873673804013,42.34341866794675
34,1.36,0.0,40.860947330287544,0.7334222775714371,187.02965133101853,22602836961.785156,155217.1872850005,771179.6634006989,81.93173369984568,114.96735701195988,42.58231919459327
35,1.4,0.0,40.977702308584476,0.7262907967561254,185.21208622685185,23070178797.027344,154676.86542375066,772055.8643205112,76.97521122685185,108.50967978395062,42.6184708913897
36,1.44,0.0,40.82329156350751,0.7277371428152953,185.57918258101853,22642786801.10547,156279.37492077856,771164.6972064932,86.87602864583333,121.5953554205247,42.98837008038577
37,1.48,0.0,40.74877119023734,0.7200283181963985,183.61371817129628,22895690988.73828,157534.90510073403,769999.8075049279,76.29745322145062,107.34240499614198,43.02455228344878
38,1.52,0.0,40.90949432777355,0.7206421534229602,183.7712287808642,22858514420.871094,156201.71103667756,768478.5575573697,81.42389033564815,114.46501591435185,43.36737755789484
39,1.56,0.0,40.98743864922593,0.721897745913073,184.0913990162037,22921531578.121094,155620.11574712588,766167.0759989495,76.88611400462963,108.36219883294753,43.291577534955515
40,1.6,0.0,40.63604445362155,0.7272430739406015,185.45383198302468,22458333346.992188,157474.77103940936,764612.8344110876,88.77636766975309,124.21519796489197,43.352048225497995
41,1.64,0.0,40.26837254005958,0.7272903552781281,185.466222029321,23264785794.753906,157211.42450747237,769224.6016524213,82.5106110146605,116.3420686246142,42.54404530524014
42,1.68,0.0,39.588328499264065,0.7317690056139141,186.60896894290124,23712873321.28125,159019.60357274662,773436.5472579509,90.76161120756173,127.45218147183643,41.885239813203434
43,1.72,0.0,39.043409783020344,0.7384089988898704,188.3016087962963,23562804891.085938,161486.41941467472,776745.2815127769,86.76762876157407,121.74228153935185,41.59378302896152
44,1.76,0.0,38.865265297584806,0.7418815839294617,189.1879870756173,23280254164.304688,161559.26511080746,776982.8846157563,91.85832995756172,129.09233820408951,41.59894851286071
45,1.8,0.0,38.71966247688767,0.7440393902397402,189.7386467978395,23023930900.410156,162117.80476321268,774589.9268352538,87.0979050925926,122.70446976273148,41.56732875123144
46,1.84,0.0,38.26731317760097,0.7517956332870166,191.71514756944444,21811865059.16797,164035.40160679515,769985.127067762,98.23539592978395,137.41202160493827,41.50852789624353
47,1.88,0.0,38.20582018134011,0.7538691335891797,192.24463252314814,21148076495.66797,164595.97755241342,766287.6985027932,92.56480131172839,129.97776210455248,41.643575787080856
48,1.92,0.0,38.205843300552935,0.7538542877069011,192.24083381558643,21151002344.73828,164596.22516973614,766298.1609133413,92.56527777777778,129.9783130787037,41.643621651216066
49,1.96,0.0,37.6197776051465,0.7567640987471367,192.98201195987653,19918797525.914062,168134.09198059444,760465.4876256085,103.03522907021605,143.80082682291666,41.6179556597015
50,2.0,0.0,37.53820759068328,0.7549758318636994,192.52714747299382,20122670056.222656,167106.27724224504,760915.2517530771,88.27140094521604,124.4657578607253,41.124401293732085
51,2.04,0.0,37.29174103879692,0.7591080584948605,193.58099729938272,19843249621.859375,168086.85403169764,761076.4835814334,96.71782455632716,135.6057265142747,41.08600642445264
52,2.08,0.0,37.08318622348884,0.7611656028983067,194.10445505401233,19976489891.515625,169453.56878812585,761268.2519160693,94.69607638888888,132.64201292438273,41.01526167971809
53,2.12,0.0,36.95876270641495,0.7621710944078042,194.36170621141974,19765628637.507812,169514.41267118073,759116.4113799275,97.99819155092592,137.62938850308643,40.92186262510229
54,2.16,0.0,36.67214761141752,0.7647667935344383,195.0239096257716,19647715584.109375,170236.01876795103,759398.21344157,93.85081066743827,132.05730348186728,40.59974868055253
55,2.2,0.0,36.2143917448046,0.7709950090532398,196.61074122299382,19181331911.121094,172280.55037901172,758042.210786471,104.91058352623457,146.34012393904322,40.43509048796674
56,2.24,0.0,36.13061361401189,0.7691556582836988,196.1441584683642,19478211900.015625,171927.97507737338,759002.8933182138,91.07317853009259,128.32293282214505,39.97577515851676
57,2.28,0.0,35.87489765290213,0.7738260172320738,197.33455150462962,19001218169.69922,173214.0384368088,756073.4780223848,101.14857108410494,141.77650752314815,40.0232230200058
58,2.32,0.0,35.711342181730245,0.7777138850547092,198.3247969714506,18973964516.054688,173972.18752776794,756494.4111299885,97.36916859567901,136.3497210165895,39.912056749561
