number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,104.64840203750973,0.4628922499274084,118.04355227623456,125440465410.1289,97825.75818718465,549930.5514685479,40.35460069444444,57.28457489390432,45.60678868037411
2,0.08,0.0,105.04600865836534,0.45779146593463077,116.74317418981481,127597088854.4375,97833.30766712523,552092.7121618753,37.66913724922839,53.92313006365741,45.60035908143963
3,0.12,0.0,105.07091556567343,0.45772549729862005,116.7263565779321,127667306580.04688,97795.03913161551,552200.4783282005,37.82978539737654,54.179484471450614,45.620666586603456
4,0.16,0.0,104.97449076725233,0.4626522088668981,117.9825356867284,125806049126.70312,97725.8222524894,549056.086604867,39.385641878858024,56.212529176311726,45.65517752876161
5,0.2,0.0,105.32522818238633,0.45708770761456263,116.56305169753087,127850131953.60547,97809.18472811114,551191.5452250565,37.75641010802469,54.15455078125,45.61750388172157
6,0.24,0.0,105.34745838589647,0.4569773717769574,116.5346875,127766115123.02734,97754.29518701807,550895.9330059837,37.75719425154321,54.181413242669755,45.63481871346834
7,0.28,0.0,105.2298389539904,0.46181639504522376,117.7698013117284,126112114899.25781,97653.15938409917,548316.2947971512,39.52447193287037,56.49056327160494,45.66743461480123
8,0.32,0.0,105.57404084345096,0.4563818184940171,116.38345920138889,128065163780.40234,97696.1212949973,550284.096437144,37.581300154320985,53.98485194830247,45.64477344842808
9,0.36,0.0,105.61772994163921,0.4563409751674048,116.3734302662037,127994607856.45312,97650.58993750019,549955.1069755277,37.604306520061726,54.001968798225306,45.677580524713534
10,0.4,0.0,105.49236115451178,0.4615380801827287,117.69866946373457,126366352880.41016,97547.07007329732,547639.0530480292,39.26307339891975,56.15438030478395,45.72468704780141
11,0.44,0.0,105.77274214987715,0.4560372317949903,116.29631269290124,128169635060.35547,97586.82218531599,549202.0909565656,36.890590277777775,53.1392739679784,45.725137531100586
12,0.48,0.0,105.63283942467355,0.46021177167569755,117.36040895061728,126948881509.59375,97501.48430188831,547799.9466770064,38.94229986496914,55.775145158179015,45.75078037107303
13,0.52,0.0,105.53821206211909,0.46079708335863645,117.51006124614197,127695626340.03125,97439.34822394152,550022.2886364155,40.346302083333335,57.47657986111111,45.757876339014096
14,0.56,0.0,105.87821254485408,0.45589079635600405,116.25878472222222,129353424727.10156,97484.62683246996,551416.7518485534,38.31544608410494,54.91968557098765,45.73332142541049
15,0.6,0.0,105.90074873601893,0.4559256557919799,116.26788049768518,129290884530.38281,97481.55582142618,551042.6024211551,38.914452642746916,55.71994212962963,45.75068087399779
16,0.64,0.0,105.78412106916244,0.46069799046526066,117.484988908179,127403055422.94531,97371.96076261048,548155.0333964305,40.680071855709876,57.99724585262346,45.79140499660039
17,0.68,0.0,106.10346904948531,0.45560491468647013,116.1866015625,129186365294.85547,97436.0671286155,549895.8919235413,38.75867091049383,55.5980095003858,45.77132304999043
18,0.72,0.0,106.11668916860047,0.4554748756751181,116.1536545138889,129158045456.52344,97402.01820863364,549710.9291778442,39.03860339506173,55.974404658564815,45.78669992188786
19,0.76,0.0,105.96563052565529,0.4603632366255172,117.3996518132716,127302263874.03125,97290.0134059893,547040.0239014737,40.89085696373457,58.346923466435186,45.82487584476915
20,0.8,0.0,106.26641949990834,0.45471283349286934,115.95849826388888,128897711486.59766,97313.48744990434,548553.3124983981,39.42950569058642,56.540716869212964,45.805324066915325
21,0.84,0.0,106.29407990211241,0.454700052654502,115.95520978009259,129007153003.71094,97261.73632800861,548682.2367752366,39.6126384066358,56.791799768518516,45.82330667367966
22,0.88,0.0,106.14152695024158,0.46012977412248224,117.33969328703704,127108143251.08203,97191.96387293315,546021.7591140306,41.840068479938274,59.66591411072531,45.869008939424404
23,0.92,0.0,106.46299958767439,0.45457293535651866,115.92273967978394,129160410252.48438,97180.82904769464,548077.1984703533,39.62864101080247,56.92178650655864,45.904260201668194
24,0.96,0.0,106.36752147811427,0.45919267061922175,117.1007990933642,128115022835.52734,97085.02422244476,547120.1349096008,41.52739293981482,59.38938440393518,45.94853569160258
25,1.0,0.0,106.29741349536405,0.4591244001986482,117.08336082175926,127730522762.11719,97094.63948795992,546615.4232091679,43.50555652006173,61.83413435570988,45.974038357660845
26,1.04,0.0,106.69717168065591,0.45410455522525633,115.80358506944444,129767339877.26562,97122.48923920536,548392.6077865523,41.23931182484568,59.01838879243827,45.93585780919236
27,1.08,0.0,106.74546326677897,0.4541226078672069,115.80828848379629,129762212533.89844,97058.89356555074,548227.8444321061,41.273595679012345,59.07921561535494,45.97425295738045
28,1.12,0.0,106.64512638840878,0.4586736386252115,116.96834201388889,128139455146.1211,96997.75912912762,545898.9642154895,42.76989776234568,61.022707609953706,46.020275249506334
29,1.16,0.0,107.0376200381032,0.45366368046730854,115.6913353587963,130096219315.03516,97003.6606572298,547606.3315349449,41.70917341820988,59.73264009452161,46.0242486179026
30,1.2,0.0,107.09787071903541,0.4531152806223879,115.55161988811729,130540887569.0664,96983.05715937406,548121.5761931546,41.586315104166665,59.56850284529321,46.025469936395794
31,1.24,0.0,106.99298041329061,0.45781580113971526,116.74978732638888,129195808311.45312,96888.05819166293,546111.4289235182,43.62365306712963,62.266323784722225,46.07677102870732
32,1.28,0.0,107.34520658950677,0.4518601950970994,115.23200906635803,131161454201.16406,97020.97101300032,548020.1074800602,42.282888213734566,60.535845389660494,46.037102670377884
33,1.32,0.0,107.4055769386567,0.45166737247875555,115.18248505015433,131570691656.84766,96985.75710953544,548489.364410189,42.196031057098764,60.39570047260803,46.05731470397265
34,1.36,0.0,107.33462040413195,0.45651552398519685,116.41855324074074,129831540147.00781,96786.75471897601,545908.3096062654,43.80556134259259,62.53199508101852,46.16976993457128
35,1.4,0.0,107.6183357764263,0.45092427185860184,114.99310329861112,131647358926.41406,96759.3466265676,547324.2047871443,42.14530381944444,60.36663459683642,46.17241879637126
36,1.44,0.0,107.48739308739279,0.45617657313141646,116.33247395833334,130322534428.69922,96682.76750343817,545758.1769789445,43.30735387731482,61.870078125,46.21925619970296
37,1.48,0.0,107.41929818866006,0.4551120875971776,116.05997010030865,131177031448.19922,96607.46626990139,547392.2792760864,43.8673861882716,62.433274016203704,46.255461859947765
38,1.52,0.0,107.77019565971955,0.4496857864963447,114.67689332561729,133244902105.9961,96710.33467996867,549222.3880728971,42.06233265817901,60.14788483796296,46.19845915965293
39,1.56,0.0,107.79065212142677,0.4497252102719164,114.68663387345678,133107521962.15625,96655.60883401247,548833.3546389128,42.00398919753086,60.10871190200617,46.23202382572145
40,1.6,0.0,107.68456777150915,0.4546074511794304,115.93119261188272,131355927920.53516,96513.61806093052,546285.5190147061,44.04582320601852,62.77317346643518,46.2844685587241
41,1.64,0.0,107.99794002990159,0.4498638841417774,114.72227334104939,133058897157.83203,96589.67291727226,547596.0413083617,42.40005401234568,60.697527247299384,46.25723155821449
42,1.68,0.0,107.96404382956757,0.45015204483929244,114.79565972222223,133087497705.41406,96605.6755425922,547813.3441022442,43.3704972029321,61.97546657986111,46.24568278558213
43,1.72,0.0,107.83713507137428,0.45499506182293076,116.03010850694444,131304215296.19531,96604.3025802502,545409.6190189732,44.78398051697531,63.810668885030864,46.25162837274294
44,1.76,0.0,108.10667401283152,0.449879657490251,114.7259408757716,133326847286.01953,96652.87581631272,547381.2158808366,43.33630304783951,62.0139436246142,46.24715886122061
45,1.8,0.0,108.12121420573202,0.45000801039263805,114.75867573302469,133156530732.11328,96642.30871367105,546990.1381658145,43.56320071373457,62.32367283950617,46.264701804008254
46,1.84,0.0,108.00115226466443,0.4548215177325935,115.98639419367284,131563348523.46484,96563.30266326501,545154.7533707183,45.010326485339505,64.19608603395062,46.292558759781976
47,1.88,0.0,108.0912697839573,0.4541251897474686,115.80888020833333,131173504885.99219,96523.31636428098,543842.2633144358,44.45231963734568,63.500916280864196,46.31413544341732
48,1.92,0.0,107.97875293740083,0.4564887812010233,116.41150414737655,130844232278.83984,96532.07959574548,543815.734241307,44.92086709104938,64.10579113618827,46.309069496586
49,1.96,0.0,107.82689425346766,0.4586781902811772,116.96978587962963,130774388904.67578,96447.67244984495,544770.9870057415,44.57848234953704,63.4889045621142,46.331155414223026
50,2.0,0.0,107.8698349030665,0.45718420915232544,116.5887003279321,130439984224.7539,96382.85375960646,543780.39772821,44.24617283950617,63.108517554012344,46.35923981287314
51,2.04,0.0,107.87180573446972,0.4570036186385668,116.54263020833334,130216345223.79297,96396.97014733417,543295.550893154,44.13896460262346,62.95682291666667,46.35631930445367
52,2.08,0.0,107.83372306423425,0.4587788445145416,116.99551359953703,129838309905.11719,96389.99839500441,542741.1254156785,44.253316936728396,63.1303515625,46.346852280025004
53,2.12,0.0,107.95876069782395,0.45600808174764257,116.28949170524692,130684298295.08594,96295.84560680004,543229.6721140643,43.67730999228395,62.47561414930556,46.41509136819493
54,2.16,0.0,107.95115268566713,0.4558830603168685,116.25753713348766,130889386397.80469,96359.1087006236,543648.1642622799,42.408859953703704,60.81570167824074,46.39144593781809
55,2.2,0.0,107.81832148147137,0.458224693211689,116.85467399691358,130235636931.89844,96355.23742926096,543022.3201520449,43.6357634066358,62.356222511574074,46.355864171647156
56,2.24,0.0,107.981640512152,0.4532392669045756,115.58332320601852,131295011504.38281,96298.42264885742,543472.6744369976,42.69888599537037,61.201705488040126,46.382836102590744
57,2.28,0.0,107.9803303269657,0.45326016363181826,115.58847029320988,131687879446.21484,96368.81130698712,544025.4493856577,42.14715229552469,60.48025752314815,46.35503228742765
58,2.32,0.0,107.77651711998368,0.4567099354980703,116.46851900077161,130926897747.5586,96327.82000662216,543487.0118763647,43.40932870370371,62.05917992862654,46.35736887761696
59,2.36,0.0,107.89140896894264,0.4539403732754066,115.76280960648148,131733287579.63672,96342.2302052898,543904.8400491144,42.695789930555556,61.18724271797839,46.37756404411064
60,2.4,0.0,107.72073305651828,0.4562814954058063,116.35970823688271,131379592633.96094,96335.52289279996,544053.3368627816,43.09792293595679,61.65232277199074,46.339520155052874
61,2.44,0.0,107.73173131317677,0.45252142211387897,115.40022231867285,131941055137.59375,96427.40652702855,544631.4724141033,42.465376157407405,60.65840470679012,46.32575621119824
62,2.48,0.0,107.88907701292263,0.4490180018854203,114.50694203317902,132653572673.50781,96328.01887664644,544697.8384350219,41.33551311728395,59.28331621334876,46.378919300964355
63,2.52,0.0,107.8570907966787,0.4490532615546067,114.51594376929012,132750540978.33203,96349.00205892848,544930.5498538107,40.34038435570988,57.95539448302469,46.36520687212669
64,2.56,0.0,107.65575101176216,0.45170346284524926,115.19237461419753,132337226481.76562,96391.07239671571,545486.5265989131,40.98228443287037,58.71688536844136,46.31970168185507
65,2.6,0.0,107.82503970822613,0.4474759270135103,114.11405237268518,132793438310.23828,96417.06759457591,545068.9065586117,39.846364776234566,57.271028886959876,46.30466778349443
66,2.64,0.0,107.76774745803287,0.44823763576325343,114.30841676311728,132853423444.02734,96427.5808101904,545442.072303846,39.08272472993827,56.22162350501543,46.28476738490243
67,2.68,0.0,107.58657653934102,0.45142749087363937,115.12128761574074,131881749426.39844,96414.61133547849,544629.2555739053,39.86887731481482,57.22665653935185,46.29364768902074
68,2.72,0.0,107.46149676504461,0.45138700619177297,115.11178192515432,129243534969.65625,96482.57139737137,540922.9978569375,43.08629050925926,61.500161072530865,46.23920188570233
69,2.76,0.0,107.45082104600378,0.45071516264571637,114.94018614969136,129829050410.8125,96482.14784137071,541894.3555974715,41.99342447916667,60.09897328317901,46.224679798494165
70,2.8,0.0,107.16134478395412,0.45574613489245336,116.22279079861111,128524762389.3789,96419.49594567642,540763.9531691979,42.51549093364198,60.71725091628086,46.25466779191639
71,2.84,0.0,107.2986212784568,0.45283596229718454,115.48051793981482,129294140383.55078,96348.72576037415,541439.5607509047,42.32661554783951,60.57633077739197,46.276029876836034
72,2.88,0.0,107.11126117477416,0.45605038062338926,116.29970148533951,128647936948.17578,96425.38785532312,541394.4579121831,42.88383101851852,61.25444878472222,46.23625627735524
73,2.92,0.0,107.00659498891531,0.4558269602869944,116.2433699845679,128558535904.25,96581.52649967397,542247.6741522274,42.62930025077161,60.87768952546296,46.19701757146677
74,2.96,0.0,107.15304381607005,0.45192966028189485,115.24990258487654,129728171521.70312,96498.72046321888,543279.7581122983,41.63857011959877,59.718832224151235,46.223981486155495
75,3.0,0.0,107.17123461371179,0.45172858078398387,115.1984765625,130102477824.125,96502.9622650496,543716.0724636369,40.72835792824074,58.52030936535494,46.21905370769048
76,3.04,0.0,106.9697140234413,0.4560607681225133,116.3029335455247,128773684885.30469,96459.96382996613,542223.3663467646,41.87919126157407,59.99956645447531,46.2066297153855
77,3.08,0.0,107.14203315297725,0.45187601074077954,115.23583140432099,129504174595.1875,96509.84898856001,542522.3675768449,41.15229938271605,59.14480082947531,46.21217706513548
78,3.12,0.0,107.11060086420055,0.45130022493994854,115.0887644675926,129933278057.3789,96509.1380739087,543434.7413059769,40.71673514660494,58.54875120563272,46.21313197782588
79,3.16,0.0,106.85495243634186,0.45707135257953024,116.56052517361111,127986094925.66797,96423.1528313308,541172.5266174458,41.886971932870374,60.051957947530866,46.24324670537439
