number_of_frame,current_time(s),camera_motion_x,camera_motion_y,net_camera_motion,camera_motion_angle,internal_motion_x,internal_motion_y,net_internal_motion,internal_motion_angle
2,0.08,0.0,0.0,0.0,0.0,0.12938734266493054,-0.6810270182291667,0.6932091199630901,-1.3830454214964771
3,0.12,0.0,0.0,0.0,0.0,0.13758769470968366,-0.13818458839699074,0.19500090821832308,-0.7875626041036451
4,0.16,0.0,0.0,0.0,0.0,0.1414842845775463,-0.6541461106288581,0.6692719453505296,-1.35778891761521
5,0.2,0.0,0.0,0.0,0.0,0.16703444492669753,-0.6484358723958333,0.6696040519603472,-1.3186814240532274
6,0.24,0.0,0.0,0.0,0.0,0.12268515504436728,-0.14023665063175153,0.1863275756528603,-0.8520548388180402
7,0.28,0.0,0.0,0.0,0.0,0.16618376555266204,-0.631282974054784,0.6527903470982971,-1.3133886624724658
8,0.32,0.0,0.0,0.0,0.0,0.1734387508439429,-0.6036487871334877,0.6280707432304407,-1.291015246977691
9,0.36,0.0,0.0,0.0,0.0,0.1259048122829861,-0.11390646098572531,0.16978428552226657,-0.7354073746999726
10,0.4,0.0,0.0,0.0,0.0,0.15590426974826388,-0.6102748239776234,0.6298741954602194,-1.3206801514187805
11,0.44,0.0,0.0,0.0,0.0,0.12884568202642746,-0.4592063319830247,0.4769398967481743,-1.297246702702328
12,0.48,0.0,0.0,0.0,0.0,0.12662465036651235,-0.447583309220679,0.465150105636208,-1.2950935912155979
13,0.52,0.0,0.0,0.0,0.0,0.17749495141300153,-0.3989722885320216,0.4366730410657183,-1.1522080105498427
14,0.56,0.0,0.0,0.0,0.0,0.10363285017602238,-0.6470241367669753,0.6552709372424933,-1.411976828010195
15,0.6,0.0,0.0,0.0,0.0,0.1193538788218557,-0.1406607922212577,0.18447440705456694,-0.8671605218200763
16,0.64,0.0,0.0,0.0,0.0,0.10923502604166667,-0.6336316068672839,0.642978463197283,-1.4000792047563742
17,0.68,0.0,0.0,0.0,0.0,0.1126478557822145,-0.6128726007908951,0.6231391210737186,-1.3890221439903179
18,0.72,0.0,0.0,0.0,0.0,0.11289803210599923,-0.12605480052806714,0.1692210932170633,-0.8404027305691698
19,0.76,0.0,0.0,0.0,0.0,0.11952235845871914,-0.607754810474537,0.6193960799250146,-1.376612303162628
20,0.8,0.0,0.0,0.0,0.0,0.10123552487220293,-0.5990620177469136,0.6075557032924255,-1.40338790805908
21,0.84,0.0,0.0,0.0,0.0,0.10598308045187115,-0.13485536928530092,0.17151788235383117,-0.9047111468343162
22,0.88,0.0,0.0,0.0,0.0,0.11335862901475695,-0.6040187355324074,0.6145639199027825,-1.3852802645970066
23,0.92,0.0,0.0,0.0,0.0,0.11561753261236497,-0.4462184124228395,0.4609536695076096,-1.3172665469573523
24,0.96,0.0,0.0,0.0,0.0,0.13384581766010803,-0.44845543378665126,0.46800318267921687,-1.2807533657961452
25,1.0,0.0,0.0,0.0,0.0,0.12606507101176698,-0.42026551046489197,0.4387658845164675,-1.2793713651137473
26,1.04,0.0,0.0,0.0,0.0,0.09934886791087963,-0.6689174021026234,0.6762548989773725,-1.4233522890777095
27,1.08,0.0,0.0,0.0,0.0,0.12529841670283565,-0.17049385730131172,0.21158414072353696,-0.9370200179953225
28,1.12,0.0,0.0,0.0,0.0,0.11118843737943673,-0.6747274064429012,0.6838274209272723,-1.4074739932076574
29,1.16,0.0,0.0,0.0,0.0,0.11601685323832947,-0.9035864559220679,0.9110040579279146,-1.4430990241671124
30,1.2,0.0,0.0,0.0,0.0,0.150894157503858,-0.07839742024739584,0.17004470668105462,-0.47916689000865104
31,1.24,0.0,0.0,0.0,0.0,0.16568395543981482,-0.7627387152777778,0.7805264382926292,-1.3568969047352604
32,1.28,0.0,0.0,0.0,0.0,0.23304624204282406,-0.808705753279321,0.841614844401735,-1.290226047673378
33,1.32,0.0,0.0,0.0,0.0,0.20851194782021604,-0.25476339457947533,0.3292136382372971,-0.8849042012255766
34,1.36,0.0,0.0,0.0,0.0,0.20694272641782407,-0.8180347583912037,0.8438045733186075,-1.323019189088911
35,1.4,0.0,0.0,0.0,0.0,0.19900940694926697,-0.6245912905092592,0.6555295754077926,-1.262342601590608
36,1.44,0.0,0.0,0.0,0.0,0.16398018542631174,-0.6093668016975309,0.6310446895613063,-1.3079241742431786
37,1.48,0.0,0.0,0.0,0.0,0.21209463614004628,-0.5364559823495371,0.5768614700931112,-1.19429408324528
38,1.52,0.0,0.0,0.0,0.0,0.18558928313078704,-0.7561036361882716,0.7785474235203181,-1.3301000322791527
39,1.56,0.0,0.0,0.0,0.0,0.15862496081693672,-0.20466988269193673,0.25894331247457586,-0.9114685488899354
40,1.6,0.0,0.0,0.0,0.0,0.19332918897087192,-0.7453038797260803,0.7699701607483777,-1.316993674189927
41,1.64,0.0,0.0,0.0,0.0,0.1941620551215278,-0.6437973210841049,0.6724387661966592,-1.2778825648769732
42,1.68,0.0,0.0,0.0,0.0,0.16984060028452933,-0.1976337950906636,0.2605857756420094,-0.8608874510478977
43,1.72,0.0,0.0,0.0,0.0,0.18314820842978394,-0.582363884066358,0.6104842010370899,-1.2660986104526777
44,1.76,0.0,0.0,0.0,0.0,0.1772936710310571,-0.46209129050925923,0.49493576002566364,-1.204440452067642
45,1.8,0.0,0.0,0.0,0.0,0.1613671875,-0.11377054096739969,0.19744139685910586,-0.6141014185964319
46,1.84,0.0,0.0,0.0,0.0,0.17536550262827932,-0.4188963638117284,0.45412247591014143,-1.174327547661143
47,1.88,0.0,0.0,0.0,0.0,0.17666838469328705,-0.12017697934751158,0.21366849209751887,-0.5973410528617022
48,1.92,0.0,0.0,0.0,0.0,0.17775639286747685,-0.09486542878327546,0.201486438212331,-0.4902289220608436
49,1.96,0.0,0.0,0.0,0.0,0.21477665653935185,-0.10144396369839892,0.23752871398015188,-0.4412619138092674
50,2.0,0.0,0.0,0.0,0.0,0.17823115596064815,0.00863470760392554,0.17844019482861526,0.048408829550465673
51,2.04,0.0,0.0,0.0,0.0,0.20161604516300155,0.023541095874927663,0.20298574546544398,0.11623569471822016
