number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,128.07031510851274,0.4035525542599449,102.9062326388889,109573816396.92188,80398.69120639443,418993.4941952772,213.71412133487655,310.4570466820988,61.20745676601073
2,0.08,0.0,128.07032286555366,0.4035525188883136,102.90622588734568,109574033158.11719,80399.01645328029,418993.8787698471,213.7142115162037,310.45720679012345,61.20747229175818
3,0.12,0.0,128.57343696036696,0.3998778622575362,101.96938319830247,110700940623.8789,80541.47315339965,419878.07039879024,201.09161410108024,293.5610693962191,61.06573304174398
4,0.16,0.0,128.37961062307392,0.40178799088621764,102.45635175540123,110500271206.33594,80505.52753621805,420166.2079465313,203.68298466435186,296.74265938464504,61.08283492957442
5,0.2,0.0,128.69741047791968,0.39856123423456524,101.6341902970679,111460001394.5,80487.45782303427,421804.1658329578,193.80591917438272,283.07962890625,60.94679344836537
6,0.24,0.0,128.7005276471061,0.39796833155645017,101.48272858796297,111476001766.96094,80408.85737980205,421947.4153849065,191.0676880787037,279.1998784722222,60.95827106382725
7,0.28,0.0,128.48578504967503,0.39978208989286046,101.94463686342593,111202118297.47656,80282.71459214519,421686.77880086703,194.9550462962963,284.3582120466821,60.94288701317239
8,0.32,0.0,128.77189746142344,0.39709620369295995,101.25971161265431,111845600202.44922,80331.10776270089,422451.68338972447,187.31503327546295,273.8649045138889,60.86133387476463
9,0.36,0.0,128.78070152970636,0.39640660782953463,101.0837750771605,112067594551.55078,80356.80356810392,423116.3826246999,185.9313498263889,271.71910542052467,60.80042532100022
10,0.4,0.0,128.60196745320988,0.3980014711602673,101.49032214506173,111732202212.85156,80229.49295413506,422654.5839707518,187.59652199074074,273.6627495659722,60.81996366825656
11,0.44,0.0,128.86169981914915,0.3946836413419094,100.6446696566358,111980219422.16406,80495.87704980881,422497.9604568753,183.56681278935184,268.3512364969136,60.64328452581385
12,0.48,0.0,128.78852216579014,0.39594159868431716,100.96555941358025,111784602447.6211,80580.05471542873,422061.8426167972,187.65026957947532,273.91367525077163,60.581083281874555
13,0.52,0.0,128.85264206259788,0.39479794136244856,100.67432629243827,112173572911.14844,80616.53797328605,422589.3658875389,185.76057773919754,269.895580150463,60.406233022090085
14,0.56,0.0,128.81285198832924,0.39465597373701705,100.63819299768518,112386436210.26562,80479.85911611441,423402.1530107644,184.64011381172838,269.4681640625,60.589662326423436
15,0.6,0.0,128.9208781013697,0.3939555786105915,100.46017168209876,112595185993.86719,80534.70715641689,423640.5699726664,181.28266493055557,264.53067539544753,60.54521918557599
16,0.64,0.0,128.76454694011176,0.39559260117190176,100.87706934799382,112475836180.45703,80582.4989791938,423982.75704594015,184.39620997299383,268.58442901234565,60.65444890632537
17,0.68,0.0,129.11090491173167,0.39295183554572005,100.2035083912037,112760889235.63672,80707.49346163773,423763.3036555409,179.31941840277779,262.03819733796297,60.56617221441299
18,0.72,0.0,129.21591014130604,0.39203786170444327,99.97033661265432,112902385213.35547,80736.50468664915,424091.220203056,177.61220775462962,259.69887297453704,60.5476346828537
19,0.76,0.0,128.93448165943119,0.3946235913349371,100.63081163194444,112283493339.1836,80723.43515217653,424024.09821548534,180.02985243055556,262.5894034529321,60.57504972992171
20,0.8,0.0,129.45729580680398,0.3918015449138839,99.91142505787037,113088920918.33203,80771.30342088688,424061.4049254834,174.679140625,255.48581380208333,60.5977534383039
21,0.84,0.0,129.92369987315644,0.3902477505112397,99.51506655092592,114154289126.23438,81040.85323060065,424277.68942349055,172.85747347608026,252.79963493441358,60.27803662928955
22,0.88,0.0,129.69264930891856,0.39225732276347697,100.02744695216049,113709612066.8164,81028.90931713274,423759.6200756161,177.1852420910494,258.5787663966049,60.294546949104806
23,0.92,0.0,129.94445372683242,0.38918828166344227,99.24405719521604,114040962412.5625,81183.81121767999,423247.05502186395,171.32088686342593,250.647139998071,60.26118478635989
24,0.96,0.0,129.79784402679414,0.3906261766573781,99.61081548996914,114041041169.1211,81140.36582352691,423040.21588889573,175.25951147762345,255.95320770640433,60.338728980747455
25,1.0,0.0,129.74514106627896,0.39153080016320263,99.84027922453704,114562631965.02734,80944.95153942889,424215.7594048895,179.8491165123457,261.38742428626546,60.39251823177064
26,1.04,0.0,129.7560124918127,0.39150030804686875,99.83264660493828,114562494630.46484,80955.00172426348,424076.0148758523,179.8162181712963,261.3519574652778,60.38616180649881
27,1.08,0.0,130.52096686343071,0.3874591285463899,98.80372781635802,116352975020.28516,80972.50721121593,424863.0729197613,170.6232634066358,249.2409039834105,60.3962259224351
28,1.12,0.0,130.45294635031502,0.3892893975711265,99.27025077160494,116045227250.16016,80844.45958711993,424068.0325820747,176.7525284529321,257.3616343557099,60.41695312576195
