number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,116.54005748953195,0.30635353042551794,78.1382103587963,326821975380.40625,334676.0555697737,718459.1311489874,26.012358217592592,37.89736689814815,39.747560850131975
2,0.08,0.0,116.59959376605036,0.30598387393048615,78.04399643132716,327113757877.6797,334375.38493284397,718548.9197155318,25.598515625,37.35280502507716,39.74775531048806
3,0.12,0.0,116.6800863875765,0.3054112154480667,77.8981177662037,327947461880.83203,334827.0464390677,719023.7338434916,24.960628375771606,36.45718508873457,39.63310377132267
4,0.16,0.0,116.64104362764121,0.3059366888180693,78.0318643904321,328422282789.46094,335363.4379412784,719385.7485622644,25.54199459876543,37.22236255787037,39.62896514983469
5,0.2,0.0,116.73966152742935,0.30530829103319923,77.87151813271605,329120957738.4336,335479.7929981215,719353.6739555883,24.946268325617282,36.450020013503085,39.582301310715444
6,0.24,0.0,116.75472555328506,0.30505369618422906,77.80639949845678,329450734577.8828,335853.6803334821,719449.9135757515,24.764569347993827,36.18076388888889,39.531217345735186
7,0.28,0.0,116.70838576644051,0.30571106590791725,77.97381703317902,329553562818.28906,335990.3843899673,719571.5900911824,25.340061246141975,36.933887683256174,39.52072141238187
8,0.32,0.0,116.82388539462306,0.3048619685001341,77.75718701774692,330597766627.54297,336305.2399770375,719885.9373757691,24.888278356481482,36.36324580439815,39.467012226069976
9,0.36,0.0,116.84389096705712,0.3047568415608311,77.7305574845679,331317779660.6992,336564.67109673674,720341.8521856884,24.609707272376543,35.959625048225305,39.41338606355621
10,0.4,0.0,116.77637413497918,0.30526645344342984,77.860636091821,331285409182.2656,337214.0099804416,720339.0874596513,25.126216242283952,36.63280574845679,39.39307220141913
11,0.44,0.0,116.840988071608,0.3047132239408621,77.71998987268519,332405683638.8594,337494.8183507617,720863.0605792433,24.75290412808642,36.162361593364196,39.375874270247834
12,0.48,0.0,116.77476611944391,0.30507116889934527,77.8110619212963,331940551714.01953,337487.2506087584,720584.7926285511,25.088358892746914,36.611347415123454,39.37958994867671
13,0.52,0.0,116.61635669720272,0.30595578312718225,78.04276138117284,331129698361.8164,343941.9320003791,719622.4944211097,26.099002700617284,37.9655825617284,39.377249830209045
14,0.56,0.0,116.79262658724045,0.3042399032290333,77.59705777391976,332750253247.375,343034.7516328184,720191.2973486072,24.48495129243827,35.80592158564815,39.356582904447656
15,0.6,0.0,116.82028617250855,0.30419512680539595,77.58578317901235,333279232468.52344,343050.78431326477,720424.407550453,24.29283420138889,35.52103780864198,39.34093134969351
16,0.64,0.0,116.7550801245751,0.30504366657092863,77.8012924382716,332159999031.1719,341012.90566011966,719420.0087399229,25.48935329861111,37.11359278549383,39.36387461151186
