number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,112.03415164930644,0.45084212495767256,114.96892891589506,137772210443.42188,88767.68096532353,540500.173415696,55.70954378858025,80.32457465277778,56.479009477279796
2,0.08,0.0,112.04336983072588,0.4507355079758427,114.94190104166667,137702567737.4297,88772.01525099092,540412.7796226873,55.62255642361111,80.2038353587963,56.48241135349285
3,0.12,0.0,112.25475849776937,0.44590802224853177,113.7110440779321,138231636887.23047,89005.19902358102,539360.1228243674,52.44342881944444,76.12929325810185,56.27133367034505
4,0.16,0.0,112.15816448108467,0.4490671812037204,114.51686535493828,138031136630.89453,88863.33836632918,540080.9991906284,54.09503616898148,78.2244352816358,56.375664786519195
5,0.2,0.0,112.32547989100595,0.44518151651157284,113.52580488040124,138131441386.1211,88991.57209148513,538845.2969831716,51.363939043209875,74.59873046875,56.1955212649779
6,0.24,0.0,112.31683283418592,0.4449579157040349,113.46887056327161,138181911942.55078,88973.82259917916,538948.0749046543,51.871944444444445,75.28546320408951,56.20299511532557
7,0.28,0.0,112.17956305361753,0.4480534889314415,114.25836805555555,137718866094.75,88834.821105152,539313.695083814,53.525573398919754,77.50493296682099,56.326640137631834
8,0.32,0.0,112.29557578895951,0.4442032130325006,113.27662037037037,138018331669.92578,88953.52222538882,538666.7924867361,51.66637586805555,75.04178047839507,56.187334524278654
9,0.36,0.0,112.26677430892133,0.44430491659035504,113.30263695987654,137999826084.10938,88954.823612284,538714.2635885703,50.988733121141976,74.08618899498457,56.180853863282785
10,0.4,0.0,112.11623144869333,0.44756518717140403,114.13385706018518,137655737819.46875,88833.8165640899,539401.759458055,52.87454427083333,76.66412012924383,56.30731517712077
11,0.44,0.0,112.20341796200171,0.4451760274408432,113.52465808256173,137838231970.9961,88906.10899318998,539009.303927053,51.846657503858026,75.31299672067901,56.22250099245695
12,0.48,0.0,112.10265669656496,0.4471539187217142,114.02914158950617,137608914366.0586,88828.23434576261,539362.2751169782,52.47003616898148,76.14320384837963,56.29935764037087
13,0.52,0.0,111.94284505016111,0.4489691901194209,114.49201630015432,137860958359.54688,88623.65442108795,541021.4881571033,54.77152488425926,79.07460551697531,56.451202325440086
14,0.56,0.0,112.12522380978488,0.4451964863200968,113.52938802083334,138022148013.41016,88763.48649269607,540031.5028992329,52.610973186728394,76.3816953607253,56.35084282785275
15,0.6,0.0,112.2195012630217,0.44500994793950266,113.48215856481481,138180353215.28516,88786.5878400206,539909.8174840836,52.483831018518515,76.23509403935185,56.30237133556025
16,0.64,0.0,112.07349025849122,0.4477473079777377,114.18019820601852,137693427331.44922,88593.29419433424,540092.4671989339,53.87496383101852,78.01252555941358,56.41322656474774
17,0.68,0.0,112.30856224054757,0.4433190669435198,113.05106336805555,137791585421.47656,88690.23693828717,538234.5604625031,52.171810860339505,75.76737991898148,56.31525974015074
18,0.72,0.0,112.38320477864556,0.4423672242859002,112.80859809027778,138090992638.10938,88777.21566680261,538391.6452613936,50.24501591435185,73.07104721257716,56.2238324383674
19,0.76,0.0,112.29362343316372,0.44571548280564677,113.66216869212963,137701924644.09766,88666.9930883912,538841.4486083915,52.45590133101852,76.06514636381173,56.33318237851948
20,0.8,0.0,112.60740333237575,0.4413207275547703,112.54154996141975,137667488146.2422,88725.23280465137,536884.6913214548,50.83661892361111,73.9055111882716,56.247580730065124
21,0.84,0.0,112.6443531708147,0.44020971487809096,112.25808015046296,137694171212.8125,88708.41758845728,536357.4886717028,50.84941550925926,73.93924455054012,56.23333463362544
22,0.88,0.0,112.57052240161988,0.44362055621748986,113.1279721257716,138113087433.6211,88693.33011626561,538082.938032403,51.95208285108025,75.40323398919753,56.300887071980064
23,0.92,0.0,112.76952570359391,0.43995991694171227,112.19410976080248,137497585753.33594,88714.72845944518,535721.2038932269,50.64031925154321,73.68463107638888,56.235332926242066
24,0.96,0.0,112.62994913677288,0.4430731129362772,112.98854311342592,137766137959.22656,88621.69333766963,537138.8781956133,51.83769868827161,75.27313247492285,56.315854610192844
25,1.0,0.0,112.46288024352593,0.44640051696118155,113.83682677469136,139077619304.5625,88533.03244787882,540404.5600905224,54.41556327160494,78.50746913580247,56.465420957675896
26,1.04,0.0,112.69782626155127,0.44238508338082755,112.81332368827161,139040978470.57422,88402.92727390282,538898.2259685404,52.10754292052469,75.64441237461419,56.38871113823704
27,1.08,0.0,112.66354574890885,0.4418401819592985,112.67411699459876,139532266755.23047,88474.38993843526,539636.0917561102,51.71909481095679,75.1188515142747,56.348250640156
28,1.12,0.0,112.49064879771986,0.4451614966348511,113.52074893904322,139121433513.5078,88390.28687193725,540233.9430133188,52.663595679012346,76.30413556134259,56.44714428128362
