number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,151.2997164976157,0.2975643704133024,75.85980854552469,591852117375.4609,287804.05246396735,682947.978863477,26.442867476851852,38.80795524691358,57.88407334968362
2,0.08,0.0,151.32282252096095,0.29737802197595936,75.81248070987654,589492114614.9961,288010.6661076314,683238.8219804094,26.306392264660495,38.619220679012344,57.856907208266975
3,0.12,0.0,151.37504972291848,0.29670632500267086,75.64098234953704,588916713457.5859,288082.016484348,682777.7093715621,25.887005208333335,38.08817346643519,57.7782783790417
4,0.16,0.0,151.38326138957797,0.29747100441705115,75.8355044367284,586293509523.6523,287594.33881594345,681834.1992392523,26.674465663580246,39.14154682677469,57.83886798072839
5,0.2,0.0,151.36602902798643,0.2965461809781126,75.60002652391975,580093922371.1211,287935.0791893795,682933.1852875584,25.805275848765433,37.949987702546295,57.73882879316352
6,0.24,0.0,151.45512423100723,0.29641884001914764,75.56688416280865,579965968006.957,287863.48036153114,682678.8198310933,25.432371238425926,37.405850694444446,57.6362388883834
7,0.28,0.0,151.32264205456804,0.29710306885959753,75.74140046296296,579025990566.2891,287224.0604533071,681562.9944802807,25.95451630015432,38.06051287615741,57.708444210625984
8,0.32,0.0,151.3931329920368,0.29621129311034367,75.51413773148148,576637442295.4258,288270.6842064769,682260.0910114611,24.943067611882714,36.67646436149691,57.66489811010212
9,0.36,0.0,151.39690070036747,0.2961901299603878,75.50920524691358,573034403553.3242,288346.6698528406,682718.9705111089,25.198075810185184,37.03621768904321,57.646351150581374
10,0.4,0.0,151.30841013082642,0.29671510920688815,75.64259500385802,575254471918.8281,288110.2421866407,682850.783676183,25.526354166666668,37.403093894675926,57.6819186486837
11,0.44,0.0,151.24450793030005,0.2962583805670739,75.52681520061728,572629172681.7266,288541.8646037852,683541.160906954,24.43479504243827,35.924586709104936,57.60788864389213
12,0.48,0.0,151.04622045590096,0.29725063401549867,75.77906684027778,570746604197.2578,287916.90114784613,682911.9362121639,24.908335744598766,36.511650752314814,57.75429021336638
13,0.52,0.0,150.77843156792954,0.29826578963353195,76.06297067901235,566152860928.0234,294141.5388865699,684262.3072383556,24.36031105324074,35.75333598572531,57.92825362738743
14,0.56,0.0,150.47913980965134,0.29802911248338626,75.99866994598766,567043600838.8281,294733.0023346171,683827.7196165932,24.03780333719136,35.35107735339506,58.145713157456264
15,0.6,0.0,150.3366840298519,0.297977486713797,75.98524546682098,564295707606.8867,294648.5881579887,683926.7409307807,24.054196566358026,35.35317346643519,58.197485690468284
16,0.64,0.0,150.05346133064614,0.29872952897950195,76.18233121141975,562910616734.9688,293888.53841924574,683024.1643687235,24.398107638888888,35.78268084490741,58.35894351917621
17,0.68,0.0,149.86490143910316,0.2982857035800055,76.0697120949074,561474036347.7734,293770.59767761733,683373.3818010171,23.88943576388889,35.13265022183642,58.429273200647714
