number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
16,0.64,0.0,76.7794590905038,0.4409224935769262,112.44140383873457,78410032715.34766,104553.41716638448,688011.9546147638,20.80222800925926,29.950422453703705,58.16072753835782
17,0.68,0.0,76.93593645884476,0.4353427261137654,111.01974006558642,78507471588.71094,104447.57989579346,686701.0343814712,20.277062596450616,29.314272521219134,58.13476790468611
18,0.72,0.0,76.9260237201314,0.4338797196472838,110.64634693287037,78734474104.96484,104521.60455484156,688030.6062936547,19.896257233796295,28.779097463348766,58.08590317838244
19,0.76,0.0,76.76830106579908,0.44020437351766983,112.25821662808642,77904150030.4414,104177.21707507562,687168.4266712781,21.126719232253087,30.46500747492284,58.097113730059625
20,0.8,0.0,76.89343754437455,0.43536180788233747,111.02400366512346,77880407788.76953,104219.782825164,686275.47377913,20.935653935185186,30.279549093364196,58.04736292590478
21,0.84,0.0,76.96735695313801,0.4334309005992358,110.5320558449074,78017961150.96875,104343.8447522499,686056.3679410691,20.77230709876543,30.042673852237655,58.01701206039553
22,0.88,0.0,76.83057368441155,0.4397320451810644,112.13756221064814,77134726133.51953,104012.42781221386,684264.2652529854,22.052673128858025,31.768998119212963,58.04212593387892
23,0.92,0.0,77.03955866804226,0.4337228492256449,110.6063638117284,77368540490.28125,104131.81200926723,682754.2674847483,21.239837480709877,30.731395640432098,57.99037553864255
24,0.96,0.0,76.93210293018919,0.4377828628004979,111.64065827546297,77277241201.69922,103889.41869343766,683257.0618315184,22.22591869212963,32.04502459490741,57.976947354703455
25,1.0,0.0,76.78723875479747,0.44296696785570816,112.9658275462963,77212234743.53906,104070.31425884993,685173.2523907319,23.28523967978395,33.542613088348766,57.99234891775436
26,1.04,0.0,77.0068316487719,0.43698599504045976,111.44042390046296,78518161313.1914,104080.09493417079,686601.5292561343,22.09968219521605,31.950582561728396,57.97762427199153
27,1.08,0.0,77.10211894818191,0.4351531773699682,110.97220244984568,78445771292.32422,104193.14798543986,686164.6381789551,21.558615933641974,31.16157841435185,57.986950612044836
28,1.12,0.0,77.07745718940481,0.4386555972239964,111.86497733410494,77935841724.3164,103624.87858276266,684874.6058024958,22.175458622685184,31.960479600694445,58.034341279351075
29,1.16,0.0,77.31923420090847,0.43200616680396053,110.16905285493827,78708192081.53516,103676.96326847271,685159.1744730923,21.33429928626543,30.850797405478396,57.995122458009945
30,1.2,0.0,77.40507711131075,0.43029306912687787,109.73145785108025,79094593027.16016,103655.40821613072,686218.4412649168,20.904374517746913,30.224584056712963,57.99662240519026
31,1.24,0.0,77.32621975983712,0.4346255490567471,110.83709780092593,78842982864.625,103551.22082625504,686624.9350584921,21.753696469907407,31.364125916280866,58.05093748906708
32,1.28,0.0,77.49290146941277,0.42866748812079986,109.31943721064815,78803774865.30078,103589.78077769089,686095.6822101228,21.354001253858026,30.881202498070987,58.047444053428094
33,1.32,0.0,77.6295965128366,0.42883879485083226,109.36332417052469,79071988201.66797,103333.23627376166,686033.0529787854,21.107994791666666,30.541047453703705,58.064197706446556
34,1.36,0.0,77.59240621623123,0.4336862989392852,110.59906394675926,78256380388.28906,102881.2775728686,684397.2091848332,22.346100019290123,32.2312907503858,58.08937830509274
35,1.4,0.0,77.90752306617065,0.4282732491037259,109.21902440200617,78867718269.07422,102451.03617937172,681874.3743529209,21.87184268904321,31.66928023726852,58.06389471138459
36,1.44,0.0,78.03804780527335,0.4316558527134851,110.0806143904321,78876845011.84766,102158.80534048825,680901.6967027053,22.35193287037037,32.27245900848765,58.0596597371956
37,1.48,0.0,77.99676733751495,0.4356042721602326,111.08716917438272,78574314651.375,101580.96996289905,680379.7564979584,23.511276041666665,33.925820553626544,58.07672210439379
38,1.52,0.0,78.39406161702854,0.4282052895263232,109.19959972993827,79022816077.3789,101593.73513372583,677583.1138763158,22.600258487654322,32.742200520833336,58.06654795553144
39,1.56,0.0,78.57007432971325,0.4273337842215402,108.97824074074074,79104285609.25,101351.48449525998,676523.0168328321,22.235296585648147,32.225650077160495,58.05572704604448
40,1.6,0.0,78.61016056379556,0.43162720116445896,110.07198013117284,78687774951.11328,101032.87872975365,674900.2639750742,23.31530815972222,33.67492139274692,58.09245859018255
41,1.64,0.0,78.88208346020113,0.4249133175044117,108.36035349151234,78799918755.8789,100964.83064539354,672365.4191580046,22.614382233796295,32.746134982638885,58.0743743933432
42,1.68,0.0,79.00921576295579,0.4253959599351388,108.48361545138889,78881598936.9375,100908.4386352334,671366.7772782,22.933891300154322,33.19137249228395,58.09280732880627
43,1.72,0.0,78.94832649645227,0.43030429143732457,109.73445264274692,78318443919.57812,100725.9259587182,670356.786729729,23.162001350308643,33.45270616319444,58.14031630327848
44,1.76,0.0,79.12847364876623,0.42629197380283024,108.7119671103395,78846598644.79297,100648.56944297247,669823.2125666856,22.551807484567902,32.6837003279321,58.1403978359095
45,1.8,0.0,79.16526238912427,0.4250273606700524,108.38935570987654,79263977340.21484,100717.70998168335,670671.8920824319,22.990539158950618,33.28099392361111,58.15616606259785
46,1.84,0.0,79.10992091388025,0.4277661342889944,109.08798948688272,78974437922.65625,100626.90239994744,670825.492654344,23.068948688271604,33.322421633873454,58.16943405153035
47,1.88,0.0,79.2553595901175,0.42359003715412946,108.02376543209877,79715511555.16016,100468.95596266977,671686.0640091968,22.850725308641977,33.11173900462963,58.16921289654287
48,1.92,0.0,79.12651553578732,0.42891972990290395,109.38170428240741,79264842853.33984,100331.11836997603,671184.9172421293,23.907337962962963,34.54490499614197,58.16803152002031
49,1.96,0.0,78.98942440398135,0.43337786398114536,110.51583719135803,79598627175.34375,100184.31661639817,673410.1865195067,23.824533179012345,34.429591049382715,58.16659312002878
50,2.0,0.0,79.19634566892242,0.42675879210558176,108.82829089506173,80810820131.47266,100237.68591164702,674115.7095908748,23.31125819830247,33.75504653742284,58.17024027958306
51,2.04,0.0,79.25073729218936,0.42653942989674165,108.7720563271605,81313458799.54688,100198.38567585635,674078.3156125081,23.373413869598764,33.847176890432095,58.12833399465772
52,2.08,0.0,79.23510288634175,0.4301061337407284,109.6807494212963,81636735681.04688,100096.50289827348,673953.4837460662,23.9222159529321,34.573820167824074,58.08361358228005
53,2.12,0.0,79.28558993494917,0.4250526027340531,108.3931819058642,81685751417.3086,100222.67157139452,672663.4981178107,23.717788387345678,34.41182605131173,58.01025228376697
54,2.16,0.0,79.2561724638714,0.42580964801585147,108.58673611111111,81752175061.48438,100188.65014645265,672957.8078824981,24.24600887345679,35.188670910493826,57.964454376918965
55,2.2,0.0,79.10844483510739,0.4297445605772528,109.59024064429012,81583534567.05078,100071.64492333075,673479.9452617087,24.782259837962965,35.896374421296294,57.933445004373446
56,2.24,0.0,79.30729503909347,0.42447316657823253,108.24578510802469,82106077356.01172,99946.45325465765,672977.7691649718,24.58247540509259,35.71013382523148,57.9037644614164
57,2.28,0.0,79.33048251883807,0.42480050939827196,108.3297265625,82113759625.75781,99788.41525871729,673004.219357857,25.45711757330247,36.9494140625,57.88856245413558
58,2.32,0.0,79.26510289594009,0.4271607948261156,108.93167679398148,81735561012.95703,99843.43018505476,673612.6734452359,26.214492669753085,37.94114848572531,57.8661440029865
