number_of_frame,current_time(s),camera_motion_x,camera_motion_y,net_camera_motion,camera_motion_angle,internal_motion_x,internal_motion_y,net_internal_motion,internal_motion_angle
2,0.08,0.0,0.0,0.0,0.0,0.5279627218364198,0.48190034842785495,0.7148234617468908,0.7398172620548936
3,0.12,0.7160930931568146,0.10128837823867798,0.723221026818991,0.1405136905186795,0.006149624821580435,0.327316975976214,0.3273747403934208,1.552010556900754
4,0.16,0.0,0.0,0.0,0.0,-0.1413953842351466,0.49387882185570986,0.5137206880792214,1.849633439445227
5,0.2,0.0,0.0,0.0,0.0,0.1358356692467207,0.2880360243055556,0.3184589146773177,1.1301317588743707
6,0.24,0.0,0.0,0.0,0.0,-0.07011470088252315,0.12267281237943672,0.1412964620113546,2.090040456971916
7,0.28,0.0,0.0,0.0,0.0,0.08364169650607639,0.4082594280478395,0.41673935977342436,1.368718758403416
8,0.32,0.0,0.0,0.0,0.0,0.19727493851273148,-0.45625602816358024,0.497078429023839,-1.1626933220289055
9,0.36,0.0,0.0,0.0,0.0,0.3068537808641975,-0.01600621164580922,0.30727095801898263,-0.052115108706669466
10,0.4,0.0,0.0,0.0,0.0,0.504207748601466,0.24623613522376545,0.5611218121225512,0.4542943067570407
11,0.44,0.0,0.0,0.0,0.0,0.31011366102430554,-0.3295732964409722,0.45253623112505237,-0.8158093446848991
12,0.48,0.0,0.0,0.0,0.0,0.5882368224344136,-0.5823946879822531,0.8277717873047388,-0.7804076211989458
13,0.52,0.0,0.0,0.0,0.0,0.4063275523244599,0.3009255642361111,0.5056266161791807,0.6374569281358784
14,0.56,-0.25521809607744217,-0.6779021322727203,0.7243532132221788,-1.9308658392664484,0.5804328192641706,-0.1168040550343784,0.5920687839697575,-0.19858386460809208
15,0.6,0.0,0.0,0.0,0.0,0.7798907093942902,-0.35953230492862653,0.8587741244860723,-0.4319666246222479
16,0.64,0.0,0.0,0.0,0.0,0.46451054325810187,-0.20465720847800925,0.5075969048171475,-0.41499838057616717
17,0.68,0.0,0.0,0.0,0.0,0.697415786554784,-0.09240607367621528,0.7035109535665256,-0.1317305266778663
18,0.72,0.0,0.0,0.0,0.0,0.9140939670138889,0.0152379721182364,0.9142209669032234,0.01666848421588239
19,0.76,0.0,0.0,0.0,0.0,0.8277798876350309,0.007900788577986352,0.8278175915219599,0.009544262662693617
20,0.8,0.0,0.0,0.0,0.0,0.7047148678626544,-0.07131185649353781,0.7083137905358284,-0.10084920173031207
21,0.84,0.0,0.0,0.0,0.0,0.11851869182822145,0.2475192901234568,0.2744311922793998,1.1242308833599888
22,0.88,0.0,0.0,0.0,0.0,0.3380054313753858,-0.07985468358169368,0.3473102966069291,-0.23199873476215044
23,0.92,0.0,0.0,0.0,0.0,0.43011580102237656,0.0531401985074267,0.43338606690401266,0.1229256544327738
24,0.96,0.0,0.0,0.0,0.0,0.5775960286458334,-0.3083662169656636,0.6547571275466599,-0.4903818236168505
25,1.0,0.0,0.0,0.0,0.0,0.2383167106722608,0.29443332248263887,0.3787952428077888,0.890345018510028
26,1.04,0.0,0.0,0.0,0.0,0.0756269214771412,-0.18047532069830247,0.1956802816669702,-1.1739821040945768
27,1.08,0.0,0.0,0.0,0.0,0.15328458056037808,-0.026708737597053434,0.15559408504695574,-0.17251089181494608
28,1.12,0.0,0.0,0.0,0.0,0.14189516420717593,-0.362825942804784,0.3895855520903743,-1.1980003217131159
29,1.16,0.0,0.0,0.0,0.0,-0.4798007390528549,-0.6824711853780864,0.8342515616209755,-2.1835559177792794
30,1.2,0.0,0.0,0.0,0.0,-0.3131143000096451,-0.4590623191550926,0.5556786641023589,-2.1693895780693455
31,1.24,-0.2503598928451538,-0.6909835934638977,0.7349410876945974,-1.9184076875487144,-0.015194457077685686,0.16333343190911376,0.16403865856893227,1.663556589141299
32,1.28,0.0,0.0,0.0,0.0,0.14580659842785493,-0.43012131679205245,0.4541628686980375,-1.2439639137923608
33,1.32,0.0,0.0,0.0,0.0,0.3790351924189815,-0.376199031876929,0.5340350069772889,-0.781642842043435
34,1.36,-0.5399579405784607,-0.3912349045276642,0.6667978165189977,-2.5145693101006414,0.6501579550460532,-0.3476724908234161,0.7372798162061838,-0.49106024574727886
35,1.4,0.0,0.0,0.0,0.0,0.7374065031828704,-1.087612606095679,1.314027979867485,-0.974985307882987
36,1.44,0.753446102142334,-0.761393666267395,1.0711682145515622,-0.7906445870601122,0.39777303366013506,-0.10737279061917904,0.4120100756929823,-0.2636510784284056
37,1.48,0.0,0.0,0.0,0.0,1.0330039544753087,-0.5003845666956018,1.1478161370832747,-0.45108790646137786
38,1.52,0.7554805278778076,-0.6966693103313446,1.0276667533593185,-0.7449208700055231,0.5192295174539825,0.14737749898875196,0.5397401402561005,0.2765648898981449
