number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,121.46104540947613,0.4056438693529804,103.44786024305556,192867405038.07812,112897.7404983943,544827.8969503421,138.27226080246913,194.60179832175925,67.30881378509407
2,0.08,0.0,121.46104540947613,0.4056438693529804,103.44786024305556,192867405038.07812,112897.7404983943,544827.8969503421,138.27226080246913,194.60179832175925,67.30881378509407
3,0.12,0.0,120.92407661608055,0.40607977233121106,103.55926215277778,197205973695.3125,114857.47294780226,549897.9739417644,133.60178433641974,188.83498963155864,66.72851258740816
4,0.16,0.0,119.2337659313135,0.41777926369940577,106.54271170910494,212858263891.95312,119928.54826563621,568100.0791517623,136.71475260416668,192.78257354359567,65.9038703429382
5,0.2,0.0,118.65468802530984,0.4183390237401191,106.68521219135802,215488503139.01953,122675.26807683491,571517.7413178755,130.38046344521604,184.5937292631173,65.38079971274524
6,0.24,0.0,118.06755548187422,0.42275549717108246,107.81080922067902,216944267105.95703,123781.07412994397,575263.0037878929,135.90103636188272,191.69841097608025,65.2475584979598
7,0.28,0.0,117.49728573508807,0.427108637793764,108.92091290509259,220412533506.86328,125129.10384013344,578720.422648061,131.69400704089506,185.7323225308642,65.06582123448679
8,0.32,0.0,117.179769594036,0.4273613727134004,108.98351707175927,215230760448.9453,125751.25196210804,576267.0733378436,129.9174363425926,183.8358827642747,64.96922514326057
9,0.36,0.0,116.29267551565027,0.43204378249556674,110.17894097222222,217378909634.09766,127671.52264303548,579371.4448798329,130.87758584104938,185.01903211805555,64.75519475927086
10,0.4,0.0,115.69913037383745,0.43742210775611406,111.54976273148148,220380996589.35938,128291.64087973458,582842.216136363,136.90191454475308,192.84639660493826,64.79281685936674
11,0.44,0.0,114.62962795195023,0.4513544051116561,115.10285734953703,221078592333.08594,128166.09834632144,591144.647008941,147.8012109375,206.93008680555556,65.23163544372669
12,0.48,0.0,114.25448800022015,0.45348247962310084,115.64625916280865,220382148747.85156,128926.26412526997,591043.665432815,139.9117158564815,196.0434493152006,65.10811771693415
13,0.52,0.0,113.61809392378659,0.46113402055615377,117.59914158950617,224287708524.10938,130559.07681929764,594846.8292291806,141.06399594907407,197.35655261381171,65.11128533240618
14,0.56,0.0,113.16800902505592,0.45968930207232384,117.22892361111111,219875663686.42188,130613.73423789513,592921.6433713442,126.44808786651235,178.4550843942901,64.86914942527842
15,0.6,0.0,112.82014150480208,0.46214618939386004,117.85431761188272,222512688319.38672,130265.03527234976,595109.2961236946,130.41658275462962,183.93451437114197,64.9110445275924
16,0.64,0.0,112.25480631676501,0.4669844983683266,119.08792775848765,224372668796.57422,132211.70266795976,597880.1923847117,138.04825086805556,193.81322844328704,64.96645196204582
17,0.68,0.0,111.9400547393407,0.4649354950274514,118.56510802469136,222729715519.03125,131786.06055628322,596346.9028228997,126.93651716820987,179.34373842592592,64.71549671036377
18,0.72,0.0,111.46398025006916,0.46594326878867365,118.82271074459877,224908716637.27734,132784.4492604288,596825.9162578799,124.94423804012345,176.7763850308642,64.60611541896189
19,0.76,0.0,110.32381550954548,0.47354745709909646,120.76012249228395,227943794131.42578,135401.28686346835,599890.0532538515,129.62766203703703,182.45645785108024,64.50900837420646
20,0.8,0.0,109.88795650824557,0.4718339148717948,120.32398341049382,232661053935.15234,138875.54804229704,602141.7113828793,124.8307103587963,176.84853033371914,64.34726778105356
21,0.84,0.0,109.32057546804903,0.4740460892077355,120.887684220679,234688063573.97656,140656.5162749903,604568.5560952397,130.76897087191358,185.0140234375,64.30249098878757
22,0.88,0.0,108.60780331283287,0.47834983967521294,121.98581452546296,235858200390.0547,141576.20161666122,605713.5041677403,128.0007098765432,180.59879726080246,64.21157648957723
