number of frame,current time (s),black to white (1/0 represents true/false),luminosity,saturation_rgb,saturation_hsv,chromatic variety,entropy of luminosity_gray,entropy of luminosity_rgb,four-scale contrast,eight-scale contrast,mean gray contrast / Peli contrast
1,0.04,0.0,147.85188770250838,0.39617144381500174,101.02586853780865,127018340409.21484,92529.42599005552,418280.5725854639,59.92740499614197,86.20368103780864,51.4250028098207
2,0.08,0.0,148.07033749130684,0.39432637469158877,100.55520302854939,126732400522.08594,92559.65061725311,417294.6507441871,55.8788884066358,80.94492380401235,51.507337056859896
3,0.12,0.0,148.09924562402261,0.39408342446987477,100.49348138503086,127026496859.34375,92589.20041536653,417860.4701456494,56.98892168209876,82.43857880015432,51.408826899014045
4,0.16,0.0,147.95128919366093,0.3951798237221258,100.77283468364197,126906316742.4414,92642.9625095386,418473.22823780717,58.993385898919755,85.03788990162037,51.22536283247423
5,0.2,0.0,148.5063448012943,0.3926009730010574,100.1149782986111,127141886455.02344,92889.8082090206,418757.05791930435,57.01735291280864,82.59622444058643,50.94241673065615
6,0.24,0.0,148.6716254643876,0.39255508810483286,100.10342833719136,127376065255.01172,92836.99672419832,419701.99812542886,62.157411265432096,89.8107154224537,50.78610887292633
7,0.28,0.0,148.6345778703587,0.39385216632326286,100.43451678240741,127452930572.67969,92784.52398269222,419882.0443011419,64.17299575617284,92.45967544367284,50.69431573311368
8,0.32,0.0,149.14660564091292,0.3913387179588802,99.79326388888889,128415141093.92578,93106.89268850695,420421.19128540886,61.249465663580246,88.60121744791667,50.574324860961404
9,0.36,0.0,149.40675402776873,0.3894688889109472,99.31634548611112,129053901501.76562,93405.90665552458,420365.1655971586,60.329449749228395,87.3331411554784,50.471189145576396
10,0.4,0.0,149.32465633100307,0.38945333389577114,99.3128621720679,129290139149.23828,93462.2125495172,420097.24994172336,62.85656876929012,90.76073688271605,50.61091016181611
11,0.44,0.0,149.57391784770633,0.387842489980035,98.90213396990741,129896511396.47656,93777.06962746686,420518.16617482784,59.62347077546296,86.34569830246913,50.379614534710534
12,0.48,0.0,149.55114866270063,0.3879600978233829,98.93164689429013,130637149698.1914,93749.5632686313,421738.47223978647,61.6531322337963,89.09715350115741,50.347571006322774
13,0.52,0.0,149.72840732976496,0.3865324939920473,98.56731915509259,131304573196.63281,93997.10891172527,422701.55759548786,62.01559799382716,89.15996841242284,50.20389655457583
14,0.56,0.0,150.0852551036942,0.38475129710625944,98.11317660108024,131602834006.17188,94327.99125191226,422572.3213261606,56.44412326388889,81.71125458140432,49.987183940610116
15,0.6,0.0,150.10529789882187,0.3850518811351407,98.18962432484568,131748208228.61719,94362.48008401768,422731.3171793999,58.078115837191355,83.99355613425926,49.96417336250348
16,0.64,0.0,149.89775465133656,0.38614448370924603,98.4679258294753,131123533111.48438,94214.30350755963,422101.8499848795,60.61186487268518,87.3212483121142,50.00029804623054
17,0.68,0.0,150.07641364921668,0.3843258760312506,98.00430652006173,130926289947.625,94579.4221848747,421591.15604763984,56.76008198302469,82.16271436149691,49.81629007681116
18,0.72,0.0,149.91145528598508,0.3841796731734355,97.96761477623457,130551786734.1289,94841.02832856776,421159.74432415655,57.376172839506175,83.03118947723766,49.638386635407066
19,0.76,0.0,149.64497584442856,0.385839420849883,98.391261091821,130157498844.35547,94822.94361403209,421059.16599738796,59.49455102237654,85.80036337770062,49.67317349342155
20,0.8,0.0,149.83355008102026,0.38456063142834973,98.06546344521605,130681917169.39844,95052.65955821825,421246.01170720474,55.56196228780864,80.50495177469136,49.659010279210655
21,0.84,0.0,149.6527380290182,0.38611330102538666,98.46118537808643,130573111732.9414,95054.26510337449,421001.57124587306,55.81136863425926,80.82730878665123,49.80623578493815
